Airman Kenny Rivera Rojas represents the best of Arkansas by selflessly serving those affected by Hurricane Maria.https://www.defense.gov/News/Article/Article/1336707/little-rock-airman-supports-family-in-puerto-rico/source/GovDelivery/ …	
You can watch my Town Hall at Springdale High School live at 5 PM CT HERE:http://ow.ly/rx7g309g8XG 	
I joined @JohnBoozman in asking the administration to relieve Americans of Obamacare burdens. More: http://ow.ly/OIxr3092lUA 	
H.R McMaster is one of the finest combat leaders of our generation. He will serve both POTUS and the country well: https://www.cotton.senate.gov/?p=press_release&id=621 …	
My town hall for this Wednesday (2/22) at 5 PM has been moved to the Arend Arts Center at 1901 Southeast J Street in Bentonville.	
It was great to meet with Arkansans in D.C. for the National Agricultural Aviation Association Board Meeting yesterday.pic.twitter.com/OOUx55FrGu	
Today I introduced the Intermediate-Range Forces Treaty (INF) Preservation Act. More: http://ow.ly/1e2e30959SN 	
WATCH my Senate floor speech on the skyrocketing cost of drugs from earlier today:pic.twitter.com/qsKeAepdVM	
I joined @JohnBoozman in asking the administration to relieve Americans of Obamacare burdens. More: http://ow.ly/OIxr3092lUA 	
WATCH my Senate floor speech in support of OMB Director nominee Mick Mulvaney:pic.twitter.com/niuKFjvmXA	
Earlier today I spoke on the Senate floor in opposition to the Border Adjustment Tax. WATCH:pic.twitter.com/ebTUaBOlPG	
It was great to meet with representatives from community colleges across Arkansas today. Thanks for stopping in!pic.twitter.com/XWtWVCScsX	
Heather Wilson is an Air Force veteran herself and understands the challenges of modernizing our Air Force. http://ow.ly/agxZ3092xNe 	
I enjoyed meeting with officers from the Fraternal Order of Police of Arkansas today. Thanks for coming by!pic.twitter.com/zjmSuuuwTH	
David Shulkin has consistently demonstrated a special concern for our veterans. Statement: http://ow.ly/yBK3308YmCy 	
READ “Cotton: 'US should build up its nuclear forces in Europe” via @dcexaminerhttp://ow.ly/m5XB3091PMq 	
I am holding a town hall next Wednesday (2/22) at 5:00 PM CT at the Jones Center in Springdale. Hope to see you there!	
My statement on reports that Russia secretly deployed a new cruise missile: http://ow.ly/Lf0n3090lEK 	
I enjoyed meeting with the Agricultural Retailers Association, including members from Arkansas, today.pic.twitter.com/20Reo8aszZ	
WATCH my exchange with Federal Reserve Chair Janet Yellen on raising wages for working-class Americanspic.twitter.com/Clebh5qobE	
I join my colleagues in the Senate in encouraging the president to strengthen GITMO Mission. Statement: http://ow.ly/e5CT3090plu 	
MUST READ: “Russian Cruise Missile, Deployed Secretly, Violates Treaty, Officials Say” via @nytimeshttp://ow.ly/IYTT3090fjD 	
Thanks to the North Little Rock VA for hosting a moving kick off ceremony for the National Salute to Veteran Patients.pic.twitter.com/hLDKN6920b	
David Shulkin has consistently demonstrated a special concern for our veterans. Statement: http://ow.ly/yBK3308YmCy pic.twitter.com/gYoBKPNY0C	
Earlier this week I talked with @IngrahamAngle about my immigration legislation, the RAISE Act. LISTEN:http://ow.ly/bQQx308Of3T 	
It's time North Korea had to face consequences for its behavior and that we said, "enough is enough." Statement: https://www.cotton.senate.gov/?p=press_release&id=609 …	
LISTEN to my interview with Breitbart News Radio about the RAISE Act:http://ow.ly/d0zb308OhzH 	
As a doctor himself, Dr. Price knows what it takes to provide quality, affordable care. Statement: http://ow.ly/u2Of308OmBm 	
I enjoyed talking with members of the Arkansas Ambulance Association this week.pic.twitter.com/xOZFTsBPup	
It was great to meet with the Enlisted Association of the Arkansas National Guard yesterday. Thanks for coming by!pic.twitter.com/ePW17Ra0yh	
My Statement on the Ninth Circuit Ruling on President Trump’s Immigration Order: http://ow.ly/7WqS308Rv17 	
I talked with a large group of Conway Chamber of Commerce members yesterday. Thanks for stopping by!pic.twitter.com/bdoNZFoiIU	
It was great to hear from representatives of the Arkansas Small Business and Technology Development Center yesterday.pic.twitter.com/KOqj1PxavI	
ICYMI - I spoke on the Senate floor in support of Dr. Tom Price's nomination for Secretary of HHS. WATCH:pic.twitter.com/YDf9SeJfHl	
READ “Sen. Cotton introduces bill to overhaul immigration” via @TheSunJonesboropic.twitter.com/L3WDSvDnQf	
READ “U.S. Sen. Tom Cotton to introduce bill that would slash immigration, cap refugees” via @ArkansasOnlinehttp://ow.ly/Tr1r308QPcv 	
David Friedman is well-equipped to be our next Ambassador to Israel. My statement: http://ow.ly/Rv8Q308QCyW 	
Earlier today I spoke on the Senate floor in support of Attorney General nominee Jeff Sessions. WATCH:pic.twitter.com/CeiPpxpvBW	
I was very impressed by my meeting with Judge Neil Gorsuch today, as I've been impressed with his judicial record. http://ow.ly/8HUD308P2Eo 	
LISTEN to my interview with @Kilmeade on @FoxNewsRadio about my immigration legislation:http://ow.ly/ZY3B308OkAy 	
I joined @marthamaccallum on #First100 tonight to discuss my immigration legislation. WATCH:pic.twitter.com/roYXj7isZE	#First100
I enjoyed meeting with Arkansas Rural Water Association board members today. Thanks for coming by!pic.twitter.com/KjqMXPBPpH	
Senator Dan Coats is a wise statesman. I look forward to supporting his nomination for Dir. of National Intelligence http://ow.ly/aeQd308Mwxg 	
I joined @Morning_Joe today to discuss my new immigration legislation, the RAISE Act. WATCH:pic.twitter.com/glJpHc008P	
I talked with @HughHewitt about the RAISE act earlier today. LISTEN:pic.twitter.com/o0Kc95xqoj	
I joined @sendavidperdue today in unveiling the Reforming American Immigration for Strong Employment (RAISE) Act: http://ow.ly/9yZL308Me5H 	
This morning I joined @Kilmeade on @FoxandFriends to discuss the RAISE Act. WATCH:pic.twitter.com/MCsu6gDDxs	
My Statement on the Confirmation of Betsy DeVos as Secretary of Education: http://ow.ly/eiKY308M21r 	
Joining @foxandfriends shortly. Tune in!	
I discussed renewing American strength abroad at @AEI today. WATCH:http://ow.ly/TVJm308JYBf 	
In her 65 years on the throne, Queen Elizabeth II has been a source of strength to Britain and a friend to America. http://ow.ly/ezMN308J5wI 	
Iran's ayatollahs will stop their provocations only if the U.S. shows strength and resolve. Statement: http://ow.ly/Sssn308Fb9D 	
The president said we were putting Iran on notice, and I'm glad to see he's as good as his word. My statement: http://ow.ly/asgS308EEwd 	
My statement on President Trump’s selection of Gina Haspel to serve as Deputy Director of the CIA: http://ow.ly/8FzD308D5vm 	
It was an honor to meet his Majesty King Abdullah of Jordan and Queen Rania this week.pic.twitter.com/8BTihqG0QK	
I join the administration in condemning Iran's provocative and dangerous behavior. My statement: http://ow.ly/7iIg308Ar6S 	
Great meeting with this group of German students living in Arkansas through the U.S. State Department Congress Bundestag exchange.pic.twitter.com/w0ZLW6gI6M	
In nominating Judge Gorsuch to the Supreme Court, President Trump has chosen a well-respected judge. My statement: http://ow.ly/cJAt308ymuI 	
ICYMI - This afternoon I urged my colleagues to support Rex Tillerson’s nomination for Secretary of State.pic.twitter.com/XPRv8iZq8b	
Thanks to the National Federation of the Blind of Arkansas for talking with me this morning.pic.twitter.com/yOlsQW4bRk	
This morning I joined @newsradio1029 to discuss President Trump’s Executive Order on Refugees. LISTEN:pic.twitter.com/3nG8MJGpwS	
I talked with @hughhewitt today about the expected Supreme Court nominee announcement. LISTEN:pic.twitter.com/e3odL9RJ1v	
Sonny Perdue has a special understanding of the needs of southern farmers & will fight for AR agricultural producers http://ow.ly/fPL9308vkHG 	
I enjoyed visiting with students from Temple B’nai Israel in Little Rock today. Thanks for coming by!pic.twitter.com/FMFbq0h1al	
My statement on President Trump's executive order on refugees: http://ow.ly/SkWk308sPwV 	
My statement on International Holocaust Remembrance Day: https://www.cotton.senate.gov/?p=press_release&id=593 …	
School choice plays an important role in our education system in Arkansas and across the country. #NationalSchoolChoiceWeek	#NationalSchoolChoiceWeek
Congratulations to @LISAAcademy in Little Rock for winning the regional National Science Bowl competition!https://twitter.com/DOE_SC_NSB/status/823707883296739333 …	
President Trump's immigration executive orders are simply common sense, and they have my full support. https://www.cotton.senate.gov/?p=press_release&id=592 …	
ICYMI - I talked with @HughHewitt this morning about cabinet confirmations. LISTEN:pic.twitter.com/bDLetLoXDQ	
This morning I joined @FoxandFriends to discuss immigration and cabinet confirmations. WATCH:pic.twitter.com/1rKzQkYVZ6	
Joining @foxandfriends shortly. Tune in!pic.twitter.com/iDZIVDoJSR	
I enjoyed meeting Sgt. James Hamrick with Arkansas Highway Patrol and his wife Jenn. Thanks for stopping by!pic.twitter.com/M2k1dvoM4o	
I'm confident Vincent Viola will serve the men and women of our Army with honor and distinction. My statement: http://ow.ly/rcRc308jCxF 	
I’m confident Betsy DeVos will work hard to put a quality education within reach of every child in America. http://ow.ly/tXJt308jxJR 	
Building the Keystone XL and Dakota Access pipelines will lower energy costs & create jobs across the country. http://ow.ly/lu4Z308j9qj 	
This morning I joined @newsradio1029 to discuss the reinstatement of the Mexico City Policy and Mike Pompeo's confirmation. LISTEN:pic.twitter.com/UaTOqsMEem	
Mike Pompeo will do everything in his power to keep America safe. Statement: http://ow.ly/Vxcx308hKJ0 	
ICYMI - I spoke on the Senate floor in support of CIA Director nominee Congressman Mike Pompeo. WATCH:pic.twitter.com/Rn1qWtLdim	
Not one dime of taxpayer money should pay for abortion. My statement on the reinstatement of the Mexico City Policy: http://ow.ly/IKHd308htXP 	
READ "Tom Cotton: The Iran deal is dead" via @dcexaminerhttp://ow.ly/gRVM3089WhJ 	
Miss yesterday’s newsletter? Read it here:http://ow.ly/ajRW308gS92 	
I talked with @DrewPetrimoulx on @CapitolViewAR yesterday to discuss the new Congress and new administration. WATCH:pic.twitter.com/gMcT0xqsJh	
MUST READ: "Republicans: Schumer Broke His Word on Pompeo Confirmation" via @weeklystandardhttp://ow.ly/oSNy308gqF3 	
Jay Clayton understands that the SEC’s job is to enforce the rules of the road, not to erect roadblocks to progress. http://ow.ly/rmkC308dAvb 	
Democrats are obstructing the nomination of Mike Pompeo for no good reason. Statement: http://ow.ly/R5RN308dBlp 	
For Senator Wyden's sake, I hope the jihadists take the weekend off from trying to kill Americans. Statement: http://ow.ly/GR1N308d2rx 	
Congratulations to the 45th President of the United States, Donald J. Trump.	
Today we will witness history and a hallmark of our democracy: a peaceful transfer of power. Watch live: http://ow.ly/84Jy308bQLC 	
I enjoyed meeting the Teater family who are visiting D.C. this week. Thanks for stopping by!pic.twitter.com/3v6HJ9BQbX	
I enjoyed meeting with students from Cabot High School yesterday who were in D.C. for Close Up. Thanks for coming by!pic.twitter.com/karPXH8zym	
I talked #Russia, #Israel, #Obamacare, and Chelsea Manning with @wolfblitzer on @CNNsitroom today. WATCH:pic.twitter.com/Ca3lNhnSwD	#Russia #Israel #Obamacare
It was an honor to speak to the 60 Plus Association today. Thanks for having me!pic.twitter.com/9DNt9ty9cS	
I joined @SenRubioPress in introducing legislation combating systematic bias and targeting of Israel at the UN http://ow.ly/eaQZ3088b9u 	
Congratulations to BOST, Inc. on a successful ribbon cutting for the new independent living home in Rogers.pic.twitter.com/TK1347LNAl	
This morning I joined @FoxandFriends to discuss the commutation of Chelsea Manning’s prison sentence. WATCH:pic.twitter.com/jNHGwp3Bht	
I'm very proud of my dad, a Vietnam vet, for becoming Chairman of the Arkansas Veterans Commission.pic.twitter.com/xKKcqZVmbM	
Joining @foxandfriends shortly. Tune in!pic.twitter.com/vW1Lz2UV3v	
We ought not treat a traitor like a martyr. My statement on the commutation of Chelsea Manning's prison sentence: http://ow.ly/uVHu3086c0J 	
I enjoyed meeting students from Gosnell High School today. Thanks for coming by!pic.twitter.com/yBnxPYvJsh	
Last weekend I discussed #Obamacare and #Russia with @RobyBrock on @TBArkansas. WATCH:http://ow.ly/Vz5P3085RwL 	#Obamacare #Russia
This morning I joined @hughhewitt to discuss confirmation hearings and the defense budget. LISTEN:pic.twitter.com/GtQ8oDAZQA	
On #MLKDay, we honor a hero who defended the moral basis of our founding principles. Statement: http://ow.ly/fgB13082ZGs 	#MLKDay
My statement in honor of national Martin Luther King Jr. Day: http://ow.ly/ZgKw3082KMw 	
Ryan Zinke's service as a Navy SEAL & Montana's representative make him an excellent choice for Sec. of the Interior http://ow.ly/1E0T307Ztq0 	
Mike Pompeo is a committed public servant with a keen understanding of the world and the threats facing our country. http://ow.ly/1xPj307X0rM 	
Today I questioned HUD Secretary nominee Dr. Ben Carson about veteran homelessness. WATCH:pic.twitter.com/AcK0Obh27R	
WATCH my Q & A with Gen. Mattis from today's SASC Confirmation Hearingpic.twitter.com/69LcvRwvMU	
I joined @kffb1061 for a series of interviews this week. Today we talked about the recent anti-Israel UN Security Council resolution. LISTENpic.twitter.com/6c2JXYNWBG	
Scott Pruitt has been a tireless fighter of overregulation. I look forward to supporting his nomination to lead EPA. http://ow.ly/IrfN307UBdA 	
. @CoryBooker attacks on Jeff Sessions are so far-fetched I half-expected his make-believe friend T-Bone to be next witness.	
ICYMI - I questioned intelligence officials yesterday on Russian intelligence activities. WATCH:pic.twitter.com/na6IvnDl8W	
WATCH my Q & A from today's Senate Intelligence Committee hearing on Russian intelligence activitiespic.twitter.com/bWQ3zY3WQQ	
Yesterday I joined @CNNsitroom with @WolfBlitzer to discuss #Israel and #Russia. WATCH:pic.twitter.com/3TlV9PumGp	#Israel #Russia
Senator Booker testifying against Senator Sessions is a disgraceful breach of custom: https://www.facebook.com/SenatorTomCotton/posts/727663187395219 …	
. @SenatorDurbin 's guest at the #Sessions hearing trafficked in massive amounts of drugs & destroyed lives: http://ow.ly/ljaf307SaGo 	#Sessions
The Senate Intelligence Committee will hold an open hearing on Russian intelligence activities soon. Watch live: http://ow.ly/4jxF307S0sh 	
My statement on reports that the Obama administration supported imports of uranium into Iran http://ow.ly/gSO9307RREV 	
Congratulations to Brig. Gen. Marc Sicard on a successful promotion and change of command to lead the AR Air National Guard.pic.twitter.com/bqmQaywiI2	
Thanks today and every day to our men and women in blue who work to keep us safe. #NationalLawEnforcementAppreciationDay	#NationalLawEnforcementAppreciationDay
Earlier this week I joined @TuckerCarlson on @FoxNews to discuss #Russia. WATCH:http://ow.ly/TpRT307Lz3x 	#Russia
Proud to recognize Shelby Gardner of Warren as this week’s #ArkansanOfTheWeekpic.twitter.com/8ipyemMyeE	#ArkansanOfTheWeekpic
In 2017 we are ready to do more! Contact my office to get help recovering medals for Arkansas veterans.pic.twitter.com/BOOGTiT0BB	
Proud to join my colleagues yesterday to certify the election results for the 45th President of the United States Donald Trump.pic.twitter.com/UlwQKji8FM	
Wilbur Ross's business experience makes him an excellent choice for Secretary of Commerce. http://ow.ly/YwbW307L8U3 pic.twitter.com/FcNTvErDKU	
ICYMI: Watch my Q&A with Director Clapper & Admiral Rogers on Russian cyber threats @sascmajoritypic.twitter.com/22oZfqIW2A	
My statement after meeting with Secretary of Defense Nominee General James Mattis: http://ow.ly/fCZq307IV0t pic.twitter.com/QNlPjVkPXf	
I joined my fellow Senators in introducing a Senate resolution condemning anti-Israel efforts at UN http://ow.ly/GadE307GZLT 	
I am grateful for the service of the 700 AR National Guard soldiers deploying to support US Africa Command.pic.twitter.com/Wj880yJBtQ	
. @realDonaldTrump Exactly right on #GTMO https://m.youtube.com/watch?v=Tg6lus7mld0 …https://twitter.com/realDonaldTrump/status/816333480409833472 …	#GTMO
I joined @TuckerCarlson on @FoxNews to discuss #Russia. WATCH:pic.twitter.com/tJcFgfy9o4	#Russia
Jeff Sessions is one of the most qualified nominees for AG in history. My statement: http://ow.ly/kcLz307EYNA pic.twitter.com/Cl8Oy56uGS	
Ben Carson is a world-renowned surgeon whose intellect & life-experience make him an excellent candidate for HUD Sec http://ow.ly/zIBt307EUsA 	
Earlier this morning I appeared on the @HughHewitt radio show. LISTEN:pic.twitter.com/RRGZCZUwgF	
Yesterday I joined @FoxNewsSunday to discuss Russia, the Anti-Israel UN Security Council Resolution, & Immigration.http://ow.ly/4ON4307C8q9 	
This morning I joined @ShannonBream on @FoxNewsSunday. WATCH:https://www.youtube.com/watch?v=D5er3NV5dz4 …	
It is embarrassing that Russians have facilities like this, & one of our new consulates has been on hold since 2014http://ow.ly/UYuw307z8pS 	
POTUS has continually resisted efforts to combat Russian Intel efforts, to include cracking down on spies & exposing Russian Active Measurespic.twitter.com/rr293ErGug	
Obama’s response to Russian attempts to influence US political processes are more of the same failed foreign policy http://ow.ly/eX5a307yEoM 	
Don’t miss my @FoxNewsSunday interview with @ShannonBream… we will discuss immigration, Russia, and Israel/UN vote.	
We need an immigration policy that focuses less on the most powerful and more on everyone else.http://ow.ly/vywM307yEn6 	
READ my op-ed in @nytimes “Fix Immigration. It’s What Voters Want.” http://ow.ly/Bhpz307x9JT 	
We have an immigration policy today that few Americans support or voted for. http://ow.ly/Q5dE307v5fS 	
Higher wages, better benefits and more security for U.S. workers are features, not bugs, of sound immigration reform http://ow.ly/Q5dE307v5fS 	
Points to keep in mind as @POTUS releases terrorists from #GTMO in the coming days.http://www.wsj.com/articles/the-midnight-push-to-empty-out-guantanamo-1482795549 …	#GTMO
Wishing you and your loved ones a very #MerryChristmas.pic.twitter.com/y66uAoABSu	#MerryChristmas
The entire Cotton family will be tracking Santa tonight thanks to @NoradSanta & you should too! http://www.noradsanta.org 	
While most Americans are at home enjoying Christmas with their families many are serving our country to keep us safehttp://ow.ly/w1os307qCsl 	
President Obama is personally responsible for this anti-Israel resolution. My statement: https://www.cotton.senate.gov/?p=press_release&id=565 …	
READ "Cotton: White House blocked my panel to counter Russian influence” via @dcexaminerhttp://ow.ly/p5Hz307pdio 	
READ "White House rebuffed pre-election plan to combat Russian influence” via @politicohttp://ow.ly/UYzi307pdee 	
My statement condemning Obama's failure to veto the U.N. Security Council resolution regarding Israel. http://ow.ly/ni9Y307pI3a 	
Thanks to all who participated in Wreaths Across America earlier this month in Fayetteville to honor our veterans.pic.twitter.com/u076xYhY75	
Congratulations to the Russellville High Band on their selection to perform in the inauguration parade. My statement http://ow.ly/68LC307p2gj 	
Edward Snowden was an egotistical serial liar and traitor who jeopardized the safety of Americans and allies. https://www.cotton.senate.gov/?p=press_release&id=564 …	
We have great news to report: Daniel was discharged from the NICU yesterday! An update on his homecoming here: https://www.facebook.com/SenatorTomCotton/photos/a.139579716203572.28054.120355701459307/718294258332112/?type=3&theater …pic.twitter.com/V1PLZkJ8b9	
I urge President Obama to veto the U.N. Security Council draft resolution that unfairly targets & undermines Israel. http://ow.ly/HGCn307nux6 	
Elaine Chao will be an outstanding Secretary of Transportation and I look forward to supporting her nomination: https://www.cotton.senate.gov/?p=press_release&id=561 …pic.twitter.com/YEPGdysTTd	
Treasury Secretary nominee Steven Mnuchin is prepared & ready to implement President-elect Trump’s economic agenda. https://www.cotton.senate.gov/?p=press_release&id=560 …pic.twitter.com/JWc84Mitlp	
Rex Tillerson will bring a remarkable set of skills and experiences to the role of Secretary of State. My statement: https://www.cotton.senate.gov/?p=press_release&id=559 …pic.twitter.com/D9uZ7mtCRm	
HHS should immediately halt any plans to use the Ouachita Job Corps Center facility as an immigration shelter https://www.cotton.senate.gov/?p=press_release&id=558 …	
Today I met with John Kelly, a great American, among the finest generals of his generation. Read my statement: http://ow.ly/QIUr307cUvK pic.twitter.com/4tyL6hkoKE	
Another former #GTMO detainee traveling wherever he wants…what happened to the restrictions? http://ow.ly/jxRY307cyGX 	#GTMO
An update from Tom on Daniel Mark Cotton: https://www.facebook.com/SenatorTomCotton/photos/a.139579716203572.28054.120355701459307/714057845422420/?type=3&theater …pic.twitter.com/FafXlJOVY4	
My statement on the SSCI investigation of Russian Active Measures: http://ow.ly/n4ZM3075gBI pic.twitter.com/xRZVQ8TByX	
"Arkansas cheese dip defeats Texas queso in U.S. Senate blind taste test" via @ArkTimes http://ow.ly/Cu2A306X08s pic.twitter.com/YYs7mgEltv	
John Glenn 1921 – 2016, Rest in Peace to an American hero.pic.twitter.com/SDUnww9LlD	
Today the Senate passed the #NDAA that will ensure the US military remains the best fighting force in the world. http://ow.ly/skZG306WQOc 	#NDAA
I joined @Region8News to discuss my bill, the Charles Duncan Buried with Honor Act. WATCH:pic.twitter.com/nrbKzX0g14	
"In Capitol Hill showdown, Arkansas cheese dip bests Texas' queso" via @ArkansasOnline http://ow.ly/JF9U306W85e pic.twitter.com/xLiHgn4SBv	
Blessed to announce Anna & I welcomed a beautiful baby boy to the world today. Thanks all for your prayers.	
The results are in: Arkansas Cheese Dip wins over Texas Queso!! Better luck next time @JohnCornyn @SenTedCruz cc: @JohnBoozmanpic.twitter.com/JRvH6exhXP	
My bill, the Charles Duncan Buried with Honor Act heads to the White House for a signature. http://ow.ly/8kmv306U4Kv pic.twitter.com/xnIxYGJTGA	
Today we remember the service and sacrifice of those we lost 75 years ago in the attack on #PearlHarborpic.twitter.com/IyzE34GyKy	#PearlHarborpic
This morning I joined Kevin Miller on KARN @newsradio1029 to discuss the Charles Duncan Buried with Honor Act. LISTEN HERE:pic.twitter.com/Axm6lAdls9	
Great speaking at the @Heritage Annual President's Club Meeting this morning.pic.twitter.com/9wBd94vKrk	
I joined @SenCoryGardner in urging POTUS to stop issuing non-emergency rules & regs in the final weeks of his term. http://ow.ly/bcQB306PuOE 	
My statement on the transfer of Shawqi Awad Balzuhair from Guantanamo Bay to Cape Verde: http://ow.ly/RxuN306OZWV 	
The Senate took action to extend authorities to sanction #Iran, if & when Iran violates the terms of the nuclear agreement.pic.twitter.com/fx0pFVIWzK	#Iran
The Senate passed an extension of the Iran Sanctions Act, so the U.S. can continue to put pressure on the world’s largest sponsor of terror.pic.twitter.com/sQuQjDt7zi	
My statement on President-elect Trump’s phone call with Taiwan President Tsai Ing-wen: http://ow.ly/lXES306LHxT 	
The Iran sanctions are critical to holding Iran accountable & it would be deeply irresponsible and dangerous if POTUS allowed them to expirepic.twitter.com/R7uaIu7AVo	
Congrats to our office military fellow, Beau Diers, on his promotion to Lieutenant Colonel in the U.S. #AirForce.pic.twitter.com/Csc1zZ0y6F	#AirForce
My statement on the #IranSanctionsAct. http://ow.ly/wuTQ306IWpq pic.twitter.com/ZxRin6DSMc	#IranSanctionsAct
Joining @CNN @NewDay shortly. Tune in!pic.twitter.com/VovS3D1O11	
Spent some time writing holiday cards for our troops overseas today. Thank you @RedCross for helping spread holiday cheer to our soldiers.pic.twitter.com/cizwde7Fqy	
Join me in celebrating #NPS100 birthday— I encourage you to take advantage of our national parks in Arkansas!pic.twitter.com/APeYXSf2HQ	#NPS100
READ “Give Our Fighting Men and Women the Equipment They Need” via @WSJhttp://www.wsj.com/articles/give-our-fighting-men-and-women-the-equipment-they-need-1480378530 …	
“GOP Senator: Castro is in hell” via @thehillhttp://ow.ly/eYyh306Bjio 	
"Cotton recognizes the Trail of Tears as part of national park initiative” via Newton County Times http://ow.ly/nCDY306AQnw pic.twitter.com/mU0K6UYEzl	
Fidel Castro created hell on earth for the Cuban people. He will now become intimately familiar with what he wrought.	
Wishing you and your family a #HappyThanksgiving. http://ow.ly/4qqv306uyiL pic.twitter.com/boJfbUwOK5	#HappyThanksgiving
This #Thanksgiving, we should give thanks to all the men & women serving our nation and defending our country. http://ow.ly/AxQO306uygm pic.twitter.com/JX18kb7H4D	#Thanksgiving
We should remember all men and women in uniform & keep them in our prayers of thanksgiving today and every day. http://ow.ly/L0Ry306uyd6 pic.twitter.com/rZdos4dHU5	
From the whole Cotton family to yours, #HappyThanksgiving! http://ow.ly/1OvL306uy0w pic.twitter.com/dwbkZNfwRq	#HappyThanksgiving
My statement on Facebook's development of a censorship tool for possible use in China https://www.cotton.senate.gov/?p=press_release&id=542 …	
My statement on Federal Judge’s decision to grant an injunction against DOL #OvertimeRule. http://ow.ly/V096306riWX pic.twitter.com/6cQHNub6PD	#OvertimeRule
ICYMI: I joined @RobyBrock on @KATVNews to discuss #Iran, lame-duck Congress, and #Obamacare. WATCH:pic.twitter.com/O7Vl92GAYG	#Iran #Obamacare
A #veteran in need should not wait for help. The #Veterans Crisis Hotline bill I cosponsored now heads to the president’s desk.	#veteran #Veterans
Jack’s example from Vietnam contributed to my decision to join the Army. #ArkansanOfTheWeekpic.twitter.com/m07VG3HUCv	#ArkansanOfTheWeekpic
Let’s go @ArkRazorbacks — Beat Mississippi State! #WPS #GoHogs	#WPS #GoHogs
Cheering for the Dardanelle Sand Lizards tonight in their game against Dumas!	
"The Cotton-Rubio bill would reaffirm the principles of the 1992 United States-Hong Kong Policy Act” via @WSJhttp://ow.ly/CySC306jTHh 	
Thanks to all who came out for the Ft. Chaffee #VeteransDay Parade last week to honor our vets.pic.twitter.com/C4vtGvV6NB	#VeteransDay
Jack’s example from Vietnam contributed to my decision to join the Army. #ArkansanOfTheWeekpic.twitter.com/MsOIVv9sId	#ArkansanOfTheWeekpic
Our Armed Forces are the ones begging for help, and we are the ones obligated to provide it. WATCH:pic.twitter.com/ZBcmJS2dVK	
“Cotton Warns of Russian & Chinese Aggressiveness In Call for Supplemental Defense Spending” via @weeklystandardhttp://ow.ly/LHEO306hybX 	
In national security, fundamentally, the strategy and the threats we face have to drive our budget. #DefOneSummithttp://ow.ly/QfT9306h8qu 	#DefOneSummithttp
I will soon introduce a $26 billion emergency-spending request, a lifeline to our overworked warfighters. WATCH:pic.twitter.com/Rxz1RNBaYC	
Senator @marcorubio & I introduced the Hong Kong Human Rights and Democracy Act: http://ow.ly/VF8l306fkPn pic.twitter.com/jMSfjy2ble	
I plan to offer a $26 billion emergency- spending defense supplemental for FY 2017. WATCH:pic.twitter.com/4jzFEujrrt	
“Cotton urges Trump to hike defense spending” via @dcexaminerhttp://ow.ly/1IcW306eTO2 	
“Tom Cotton: SCOTUS, Military Spending Should Top Trump’s First Days” via @newsmaxhttp://ow.ly/ITNH306eLb8 	
Great meeting with Hong Kong democracy activist, @joshuawongcf today.pic.twitter.com/szSUDOVLDU	
This morning I joined the @hughhewitt radio show to discuss Androids & DOD buildup. LISTEN:http://ow.ly/KK7v306eatG 	
Joining @foxandfriends shortly. Tune in!pic.twitter.com/H2SHNO4Dn1	
“Cotton: Trump, Congress need to reduce legal and illegal immigration” via @FoxNewshttp://ow.ly/okjY306cNQr 	
I appeared on @TuckerCarlson’s inaugural show last night. WATCH HERE:pic.twitter.com/qlzkPxLpNT	
This morning I joined MSNBC’s @Morning_Joe to discuss President-elect Trump and the #IranDeal. WATCH:pic.twitter.com/IJhtq3q6IZ	#IranDeal
My statement on President Obama’s remarks about #Iran: http://ow.ly/Z8KX306cnbw pic.twitter.com/wbSUtXWX67	#Iran
Great to be on @TuckerCarlson's inaugural show tonight. WATCH:pic.twitter.com/WIZ4XlQfsp	
Joining @TuckerCarlson Tonight on @FoxNews shortly. Tune in!pic.twitter.com/KUb8wCHq2N	
My statement on President Obama’s remarks about #Iran. http://ow.ly/cz4t306aKWE 	#Iran
This weekend I was honored to speak at the Society of the Honor Guard's Tomb of the Unknown Soldier Banquet. http://ow.ly/jYlj3067JJN 	
Thanks to Leslie Elementary School on hosting a great #VeteransDay event to honor our vets.pic.twitter.com/PkmiqVPed5	#VeteransDay
ICYMI: I joined @ShannonBream on Fox News @SpecialReport last night. WATCH:pic.twitter.com/UQjbBxhtVy	
Joining @ShannonBream on Fox News @SpecialReport shortly. Tune in!pic.twitter.com/sYs0Y4pZot	
Thank you to every veteran out there, who heard and answered the call. We will always remember your sacrifice. #VeteransDaypic.twitter.com/G1lQSup8E2	#VeteransDaypic
The new war memorial on the @ucabears campus is an honorable tribute to @ucaalumni who have made the ultimate sacrifice.pic.twitter.com/2tm7ZuvT3K	
Great sendoff ceremony for the 119th Public Affairs unit of the AR National Guard earlier this week.pic.twitter.com/OlvRaayYtx	
Dardanelle Middle School held a moving #VeteransDay event today. Thanks for remembering our vets.pic.twitter.com/Fui8ZTOrmK	#VeteransDay
It was an honor to be a part of the AR state #VeteransDay Ceremony & ASVH-NLR Ribbon-cutting today.pic.twitter.com/I27kageqdP	#VeteransDay
Congratulations to Crawford County on a successful ribbon cutting for the new county jail.pic.twitter.com/3O0xBrqOnp	
"Some people spend an entire lifetime wondering if they made a difference in the world. The Marines don't have that problem." -Ronald Reaganpic.twitter.com/xTOgUdz2rL	
