Looking forward to joining @smerconish on @CNN - tune in!	
Until Russian gov behaves like responsible, law-abiding nation, we must spare no effort to push back against its aggression. #USRussia	#USRussia
Our conflict w/ the Russian gov today is different from the Cold War & requires defense against Russian propaganda & cyberattacks. #USRussia	#USRussia
Russian govt is waging an undeclared, but very real, war against West. The front in this war today is European elections. @BrookingsInst	
Freedom, democracy, and rule of law advance American interests, but Putin opposes these universal values. Speaking now at @BrookingsInst	
Is the U.S. headed for a crisis with Russia? That’s the question I'll address TOMORROW @BrookingsInst at 9 AM: http://brook.gs/2mQIHpz pic.twitter.com/7CDnqriz6i	
Excited that members of DE’s Down syndrome advocate group could come to DC for the @NDSS 2017 Buddy Walk on Washington. #BWW2017pic.twitter.com/I13RXPSpe0	#BWW2017pic
The US must hold Assad accountable for the unacceptable loss of life in Syria. The bombing of civilians & use of chemical weapons must stop.	
Impressed by Ambassador @nikkihaley's remarks today standing up for American values at the UNhttps://twitter.com/abcpolitics/status/849703164727119872 …	
I oppose this & recommend that @POTUS get up to speed on the great work @UNFPA does rather than cause unnecessary & needless suffering.	
Loss of U.S. aid to @UNFPA reduces women’s access to HIV/AIDS services, maternity care, & emergency assistance in refugee situations.	
The @UNFPA is opposed to coercion & monitors projects to ensure informed choice among the women using their reproductive-health services.	
. @POTUS is justifying defunding the #UN Population Fund under the false premise that the group practices coercive abortions.	#UN
Just spoke at an #SFRC hearing on Russia. Republicans & Democrats must work together to stand up to Russian aggression against democracy.pic.twitter.com/1nVg8xVgX2	#SFRC
In Delaware, women earn $0.89/$1.00 compared to men doing the same job. That is not acceptable. #EqualPayforEqualWork	#EqualPayforEqualWork
Since 1970, women have added more than $2 trillion to our economy. Proud to celebrate #EqualPayDay.	#EqualPayDay
April 4 is #EqualPayDay. What better time to pass the #PaycheckFairness Act?	#EqualPayDay #PaycheckFairness
The #TitleX #CRA would mean that millions would lose access to affordable fam planning. I voted NO & will fight to protect women & families.	#TitleX #CRA
Earlier today, the Senate voted on procedural motion that would allow states to discriminate against family planning providers.	
Chemistry plays a central role in innovative products vital to everyday life & I'm proud to promote science in politics in a bipartisan way.	
Great meeting with DE Chapter of @alzassociation & hearing their personal stories. I will fight for federal funding for Alzheimer’s!pic.twitter.com/xXYcQklRdT	
. @PPFA provides critical care to thousands in Delaware. I am proud to #StandWithPP & defend the important work that they do. #PinkOut	#StandWithPP #PinkOut
SFOPS hearing today at 2:30 PM: I will question Russian dissident Vladimir Kara-Murza on Putin's efforts to suppress dissent in Russia.	
Thrilled to be a part of the newly-formed Senate Chemistry Caucus w/ @SteveDaines @SenGaryPeters & @SenCapito.	
. @POTUS' EO today is another step backwards undermining our commitments to address climate change & embrace a clean energy future.pic.twitter.com/eByr1sxURI	
This EO is a threat to our economy, harmful to our environment, & dangerous for our national security.https://twitter.com/CNN/status/846809622891630592 …	
I agree with my friend @RoyBlunt. No. Not gonna happen. Period. https://bloom.bg/2ouWiiL pic.twitter.com/72uL2ZsX8T	
When we let fear of refugees & immigrants dictate public policy, we may well stop the next Einstein from calling the U.S. home. #AAASForum	#AAASForum
This year I urge all who care about science & tech to join @aaas in fight to defend it. Don't just publish - publicize your work! #AAASForum	#AAASForum
Honored to deliver @aaas William D Carey Lecture at this year’s #AAASForum. Today defending science & innovation is more important than everpic.twitter.com/Zt8cFMvqyy	#AAASForum
#Trumpcare isn't anything close to what President Trump & GOP promised. It means less care for millions and higher costs. So, no.pic.twitter.com/qrW9Q7027h	#Trumpcare
If Republicans want to work with us to improve Obamacare, then I’m all ears. But their bill will only move us backwards.	
What would #Trumpcare mean in DE? 19,000+ people would lose their health insurance, and premiums would go up by as much as $1,000 next yr.	#Trumpcare
I’ve heard from so many Delawareans about how #Trumpcare would hurt the health & financial stability of their families.	#Trumpcare
Proud to join w/ @timkaine to call on @POTUS to reconsider decision to halt all hiring in key government agencies. http://bit.ly/2nKbxYr 	
$17,701,819 =increased cost of uncompensated care to DE hospitals under #Trumpcare. Plan will make health care less accessible & affordable.	#Trumpcare
Restoration efforts aren't only an environmental concern, the Chesapeake Bay Watershed is vital to the region's economy.	
Proud to stand w/ @SenatorCarper & watershed colleagues against budget cuts to #Chesapeake Bay restoration. https://www.coons.senate.gov/newsroom/press-releases/carper-coons-join-colleagues-in-urging-appropriators-to-reject-cuts-to-chesapeake-bay-restoration …	#Chesapeake
…by releasing the President’s tax returns and being honest about the President’s baseless “wire tapping” claims.	
Rather than levy unfounded accusations and complain about “fake news,” @PressSec & the Trump Administration should cooperate…	
…that shows that kind of collusion could have occurred. We should work together to get to the bottom of this.	
Again: I have not seen evidence of collusion between the Trump campaign and Russian officials, but I have seen circumstantial evidence…	
My full quote is here:pic.twitter.com/Z8UEKdthyt	
Because if you did, you’d know that my quote didn’t end there. That wasn’t the end of the quote.	
. @PressSec - I don’t think you know what “end quote” means.https://www.youtube.com/watch?v=mXnWYMTbTRU&feature=youtu.be …	
19,669 DE residents would lose private health care coverage under #Trumpcare. We want more coverage, not less.	#Trumpcare
Under #Trumpcare, DE residents will see an increase of $761-$1,015 in 2018 premiums, putting health insurance out of reach for too many.	#Trumpcare
I am committed to ensuring that Gorsuch is given the fair & thorough hearing that Merrick Garland never got. #SCOTUS	#SCOTUS
White House Press Secretary Sean Spicer would do well to quote me accurately and fully in the future.pic.twitter.com/IIGRrPSYAe	
Frustrating & unacceptable: a real missed opportunity for U.S. firms seeking to trade & invest in growing market.http://www.voanews.com/a/african-trade-conference-canceled-after-visas-denied-african-delegates/3770907.html …	
Proud of DE legislature for designating April as "Sikh Awareness & Appreciation Month." We must continue to stand against hate. #netde	#netde
Reducing fuel economy standards hurts consumers, the economy, & the environment. #CleanerCars	#CleanerCars
Disappointed by @POTUS' action to reduce fuel economy standards that have helped stabilize auto industry & protect middle-class Americans.	
My response to President Trump's proposed budget:pic.twitter.com/lWPpOv6UhU	
Congratulations to my friend Sam Calagione of @dogfishbeer on his 7th (lucky number 7???) @beardfoundation nom. Good luck, Sam! #NetDEpic.twitter.com/4li4CC8T1Y	#NetDEpic
Today I joined @marcorubio on a bill to stand against the silencing of political opponents in Russia.https://twitter.com/marcorubio/status/842089309905776640 …	
#Trumpcare puts power back in the hands of ins companies. This "plan" is a tax cut for those who don't need it - paid for by those who can't	#Trumpcare
#Trumpcare takes us backwards. CBO projects 52M will be uninsured by 2026. Someone missed the memo-we want more people to get care, not less	#Trumpcare
Americans are safer, healthier, & more prosperous because of our leading role in scientific innovation.http://bit.ly/2n2scGb 	
Check out my blog post in the @sciam on the importance of sustained investments for U.S. leadership.https://twitter.com/sciam/status/841423729334857728 …	
Kicking 14M off their healthcare plans isn't 'repeal and replace.' It's a disaster. I'll fight against this bill with everything I've got.https://twitter.com/AP/status/841381571743604736 …	
Proud to support @PattyMurray @SenatorCollins bill to expand caregiver services to vets of all eras http://www.murray.senate.gov/public/index.cfm/newsreleases?ContentRecord_id=C09E2133-9BE8-4290-AF9D-729FC9AEC387 …	
Uh, yes it is.https://twitter.com/CNBC/status/839851417544294400 …	
Unless we act, Russian gov will interfere in democratic elections in US & Europe and launch propaganda campaigns that seek to divide us.	
Joining group of colleagues on Senate floor to discuss importance of punishing Putin regime for interference in US election.	
I had a great meeting this morning w/ @ymcade & Youth in Govt students to discuss YMCA's outreach to communities in Delaware. #netdepic.twitter.com/qQQIFq0S4q	#netdepic
(2/2)US infrastructure gets a D+ from @ASCEGovRel. I would be unhappy w/that grade from my kids & we shouldn't tolerate that for the nation.	
Polish Amb. tells me, "We will not feel safer" when Trump cuts foreign aid. Need to give State & USAID tools to push back against Russia.pic.twitter.com/2k9289B5Gu	
. @SenateDems will fight against the #ACA repeal. GOP had 7 yrs to prep this plan & it is completely inadequate.	#ACA
. @HouseGOP plan will raise out-of-pocket health care costs, especially for older Americans.	
. @HouseGOP plan would jeopardize care for millions of Americans. We must ensure that every American has access to affordable, quality care.	
. @PPFA provides critical care to women nationwide. It's unacceptable for @POTUS to threaten their funding & ask to abandon their mission.	
We should see @POTUS' EO for what it is: a decision based in fear to discriminate against people based on their nationality & how they pray.pic.twitter.com/ek8fym7hgq	
Then, all the products of that investigation should be appropriately shared with the intelligence committees	
I urge the FBI Director to make sure that the counterintelligence investigation is completed and taken to its furthest conclusion (1/2)	
"Could." We need to find or whether or not Trump campaign colluded with Russia. Intel Cmtes need access to all relevant transcripts/info.https://twitter.com/mitchellreports/status/837766341746655232 …	
#WorldWildlifeDay is a day to celebrate plants & animals around the world...or in your own backyard!pic.twitter.com/q8fPPbNKyk	#WorldWildlifeDay
Happy #WorldWildlifeDay! Today I'm celebrating the amazing diversity of species around the world.pic.twitter.com/v1D0ZPMZOK	#WorldWildlifeDay
I stand with all of those working to protect the rights of transgender students in schools.https://medium.com/stand-with-gavin …	
I am proud to co-sponsor bipartisan bills to ensure Russian government pays a price for breaking the rules.	
The Putin regime does not respect national borders or rule of law. He seeks to undermine democratic processes in the U.S. & Europe.	
We are determined to fund the tools that will enable the U.S. and our NATO allies to push back on Russian aggression.	
Russia is taking aggressive actions to meddle not just in our elections, but elections throughout the free world.	
. @marcorubio & I discussed why we must stand up to Russian aggression that undermines democracy & human rightshttps://www.youtube.com/watch?v=5yCzCGWszKc&t=4s …	
There is strong bipartisan support for condemning Russian aggression & standing up for values that have kept peace in the world since WWII.	
Russia's strategy seeks to divide Americans & the US from Europe. We have to recognize this reality & respond accordingly.	
Great to meet w/ @PPDelaware today, which provides critical health care to thousands in DE. I will oppose all efforts to defund PP.pic.twitter.com/xrbhfArtoa	
Congratulations @PeaceCorps on 56 years of promoting world peace & friendship. Thank you to all past & present volunteers. #PCW2017	#PCW2017
Spoke today with members of Medical Society of Delaware on the ramifications of repealing the #ACA w/o replacement.	#ACA
That "B-" was too generous. I'm hopeful the President can study up, do some extra credit, & work his way up to a better grade for governinghttps://twitter.com/cnnsitroom/status/836704174918127616 …	
I agree @ChrisMurphyCT & @marcorubio. Foreign aid must remain an American national security priority. We need these tools in our toolkit!https://twitter.com/ChrisMurphyCT/status/836596946731163648 …	
POTUS' budget will slash funding for the EPA, disregarding its impt role. I will fight to protect our air & water.http://goo.gl/SrK13Q 	
Foreign assistance must be a bipartisan priority so that we can achieve our nat'l interests & keep Americans safe:http://goo.gl/6N4eFd 	
I agree with @MJGerson & @rajshah about why foreign assistance is not charity, but makes America safer & stronger: http://goo.gl/6N4eFd 	
With @RepBRochester at her office opening party. Welcome to the neighborhood Congresswoman Blunt Rochester! #netDEpic.twitter.com/PZUzT2piUF	#netDEpic
Proud to earn 94% on @LCVoters' 2016 #LCVScorecard for supporting clean water, clean energy, wildlife & public landshttp://scorecard.lcv.org/moc/chris-coons 	#LCVScorecard
President Trump's withdrawal of guidance supporting protections for transgender students is arbitrary, misguided and cruel. My stmt:pic.twitter.com/BPb0d1tIOp	
What's powering the US? More than 3 million #CleanEnergyJobs! Proud to support the fight for a clean energy economy.	#CleanEnergyJobs
My statement in response to recent bomb threats against JCCs around the country:pic.twitter.com/iAMKooqry3	
Excited to learn about small modular reactors & advanced nuclear technologies at the @ThirdWayEnergy Summit. #AdvancingNuclear	#AdvancingNuclear
(2/5) We forgive student loan debt because that's what is right. Requiring them to pay a surprise tax serves no public policy purpose.	
(1/5) Taxing Americans who are grieving the death of a child or adjusting to a life-changing disability is simply unconscionable.	
General Michael Flynn ought to be called to testify in front of committees of Congress.pic.twitter.com/sqAaVMzABG	
Proud to introduce the Stop Taxing Death & Disability Act w/ @senrobportman & @SenAngusKing: https://www.coons.senate.gov/newsroom/press-releases/bipartisan-bill-ends-student-loan-tax-penalty-for-families-suffering-from-childs-death-or-permanent-disability …	
Pruitt is the wrong #EPA administrator for our planet, for our children, and for our future. That's why I'm voting NOpic.twitter.com/od36EfPdNy	#EPA
Speaking at rally to oppose Scott Pruitt as #EPA administrator at Upper Senate Park in 30 min. #RejectPruitt	#EPA #RejectPruitt
Pruitt can't name one @EPA regulation that he supports and doesn't care about the science.	
Pruitt's interest in @EPA is limited to lawsuits: 14 in 6 yrs. He describes himself as "leading advocate against the EPA's activist agenda"	
#EPA's leader is obligated to support mission of environmental protection, and we should too #RejectPruitt	#EPA #RejectPruitt
Thank you @aplusk @ecmassimino for joining the #SFRC today to discuss the importance of the #EndSlaveryAct #EndTraffickingpic.twitter.com/bviDs8M85e	#SFRC #EndSlaveryAct #EndTraffickingpic
Our environment is not for sale to the highest bidder #StopPruitt #DefendEPA	#StopPruitt #DefendEPA
I have received more than 800 letters and 130 calls from Delawareans opposing #Pruitt - I've heard you and am voting NO	#Pruitt
I am voting NO on Pruitt - our #cleanair and #cleanwater are at stake #StopPruitt	#cleanair #cleanwater #StopPruitt
What did the President know, and when did he know it?https://www.youtube.com/watch?v=Gr_3Mht4wmA&feature=share …	
Therefore, I will vote NO on Scott Pruitt's nomination to lead the same agency he has worked to impede. #StopPruitt #DefendEPA	#StopPruitt #DefendEPA
Pruitt's fight against @EPA work to protect air and water & opposition to scientific consensus on climate change contradict EPA's mission	
We must continue to open our hearts, our homes, and our communities to neighbors from around the world.pic.twitter.com/oBXzDg7aFA	
2 wks ago I spoke at Nat'l Prayer Bfast of refugee family blocked from coming to US. Grateful they've arrived safely http://www.delawareonline.com/story/news/local/2017/02/12/syrian-refugee-family-arrives-delaware/97596978/ …	
Great to join @Morning_Joe this morning to discuss the latest news concerning Stephen Miller & Nat'l Sec. Advisor Michael Flynn. Watch here:pic.twitter.com/yZtc0Jsc0m	
Attended touching & emotional services for Lt. Steven Floyd. A real reminder of dangers our corrections and police officers face every day.	
President Trump's illegal ban should be seen for what it is: fulfillment of his campaign promise to ban Muslims from entering the US.	
Tonight's Ninth Circuit decision is the right one.https://twitter.com/delawareonline/status/829833446285512705 …	
(1/2) There's too much uncertainty in the law over what inventions can receive patent protection, hurting small businesses & industries	
Great to talk Russia, bipartisanship & more with @shaneharris @tcwittes @benjaminwittes @Susan_Hennessey yesterday!https://spaghettionthewallproductions.com/2017/02/09/rational-security-episode-102-the-guess-whos-coming-to-dinner-edition/ …	
Small manufacturers are the backbone of the U.S. manufacturing industry & support nearly half of all manufacturing jobs in the U.S.	
HHS Sec is responsible for programs affecting the health care of more than 100 million Americans - Price is not the person for the job.	
Rep Tom Price would gut Medicare & repeal the #ACA as HHS Sec - that is why I'm voting NO	#ACA
I will be voting NO on Rep Tom Price - our health care system is at stake	
Important discussion today w/ NATO allies @AmbWilczek @EerikMarmei @teikmanis @RolandasKrpic.twitter.com/BGRE8srsJa	
Meeting w/ ambassadors from Poland & the Baltics, NATO allies concerned about Russian aggression. We must stand with our allies.pic.twitter.com/G3Dpfjbq2k	
We need more communication between scientists & the public. Not less! Proud to support #scienceintegrity	#scienceintegrity
A gag-order on science is a call to action. Proud to support #scienceintegrity and #DefendScience	#scienceintegrity #DefendScience
We cannot allow suppression or interference with science. Let federal researchers do their job. http://www.lis.gov/cgi-lis/bdquery/D?d115,d114:4:./temp/~bdCq5O:dbs=y:%7C//www.lis.gov:8081/billsumm/billsumm.php?id=2%7C …	
Betsy #DeVos is unqualified to be Secretary of Education. It's that simple. That's why I'm voting not just no, but NO WAY.pic.twitter.com/5sx4myZAL5	#DeVos
Honored to join hundreds of Americans from across the country rallying because they know #DeVos is wrong for our kids. I'll vote NO tomorrowpic.twitter.com/EBm8zXlcgg	#DeVos
I've received over 3,000 letters and 450 calls opposing #DeVos - I've heard you and am voting NO	#DeVos
DeVos' privatization agenda poses too great a risk to the success of our nation's public schools	
On #DeVos - I'm not just voting NO, but NO WAY	#DeVos
DeVos' record shows that she lacks critical experience with public education system - we must put our children first	
DeVos will jeopardize our children's futures if she leads the Ed Dep - that's why I am voting NO	
My heart is broken for the family and friends of the officer that was killed at the Vaughn Correctional Center today http://delonline.us/2kWOo3I pic.twitter.com/GwWHxna7gJ	
I agree with my friend @Collin_OMara – we must stand up for science and for nominees who respect sciencehttp://thehill.com/blogs/pundits-blog/the-administration/316963-trumps-epa-pick-scott-pruitt-wont-stand-up-for-science …	
I’m standing up for America’s bedrock conservation values and voting NO on Scott Pruitt @NWFhttp://blog.nwf.org/2017/01/the-national-wildlife-federation-opposes-pruitt-for-epa/ …	
. @NPCA: Someone with record of undermining natl parks should not lead @EPAhttps://www.npca.org/articles/1450-top-10-reasons-we-must-oppose-scott-pruitt-as-epa-administrator …	
Scott Pruitt hearing showed he’s unfamiliar with lead standards in drinking H2O – unacceptable after Flint tragedy	
Mercury exposure from coal power plants hurts communities – yet Scott Pruitt fought EPA regs on mercury	
Opposing scientific research bc you might not like the results is unacceptable for head of agency like @EPA that depends on science	
The Trump administration desperately needs someone in the room to speak truth to power and to temper its worst instincts. #NoBanNoWall	#NoBanNoWall
Terror groups are cheering @RealDonaldTrump’s EO, b/c it helps them recruit on the false claim that the West is at war with Islam.	
Speaking now on Senate floor - @RealDonaldTrump’s Friday night EO caused chaos and confusion at our airports and betrayed American values.	
We need an @EPA Administrator who believes in #ClimateFacts, not one who fights limits on greenhouse gases:https://qz.com/888632/in-2011-scott-pruitt-received-a-letter-from-devon-energy-put-his-government-letterhead-on-it-and-sent-it-to-the-epa/ …	#ClimateFacts
As a chemistry major, I can't support Scott Pruitt for @EPA bc he ignores scientific research & facts when it's convenient	
Letting states regulate air & water like Pruitt supports is dangerous: air & water do not respect state lines & we risk a race to the bottom	
Pruitt thinks human impact on climate change is "subject to continued debate & dialogue." It is not. #ClimateFacts #DefendScience	#ClimateFacts #DefendScience
Congress must act now to block ban or we risk religious discrimination becoming enshrined in law- now is the time to stand up for our values	
The consequences are immediate & devastating- from innocent refugees being turned away to allies we depend on expressing outrage	
Proud to join @ChrisMurphyCT to block discriminatory immigration ban- it is illegal, unconstitutional, un-American & will make us less safepic.twitter.com/Io0QEfzNYy	
Thankful so many DE teachers, parents, and students have written and called—I heard you & am NO on #DeVos.	#DeVos
We can't let someone so extremely unqualified as #DeVos lead Education Dep – this is not about politics, it's about our children's' future	#DeVos
Listening to my friend @JohnCarneyDE "I assure you we will welcome the refugees, the immigrants and the stranger." #noMuslimbanNewark #netde	#noMuslimbanNewark #netde
Proud to be standing w/ my neighbors at the Islamic Society of Delaware. What an amazing turnout and show of solidarity. #noMuslimbanNewark	#noMuslimbanNewark
DeVos record on #HigherEducation is not just thin, but nonexistent → http://www.chronicle.com/article/What-Does-Betsy-DeVos-Have-in/238514 … #StopDeVos	#HigherEducation #StopDeVos
Tuesday is the Committee vote on DeVos & I urge my colleagues to vote no on this extreme nominee – our nation's education system is at stake	
I will be voting NO on Betsy #DeVos - her privatization agenda isn't just extreme, it's been a failure for children:https://www.nytimes.com/2016/12/12/us/politics/betsy-devos-how-trumps-education-nominee-bent-detroit-to-her-will-on-charter-schools.html?_r=0 …	#DeVos
Hearing from Dr. Prayus Tailor, Medical Society of Delaware President about implications of #ACA repeal on DE medical community.pic.twitter.com/GsudGTha9e	#ACA
I believe POTUS' Muslim ban as illegal, unconstitutional, and un-American – watch my interview on @NewDay @CNN from this morning:pic.twitter.com/RUNMjXbukt	
Kerry Orr, thank you so much for sharing your inspiring story about how the #ACA helped you and fight against cancer. #SaveACApic.twitter.com/xDn5BeZMnm	#ACA #SaveACApic
Hearing from Lolita Lopez of @westsidehealth "90k Delawareans (10% of our population) at risk of losing coverage or affordable healthcare."pic.twitter.com/KMtMoL6Hrt	
We're now continuing the conversation with Delawareans, including Dr. Nevin of @christianacare on repealing the #ACA and how it will hurt DEpic.twitter.com/VLYlHytNO9	#ACA
Joined @SenatorCarper & @LisaBRochester recently for joint ed on the impacts of repealing the #ACA w/out replacementhttp://delonline.us/2iIERI6 	#ACA
Hosting #ACA convo w/ members of DE health care community. Talking about harmful impacts of what happens when #ACA is repealed not replacedpic.twitter.com/ycB3Daf7E4	#ACA #ACA
Set to appear on @CNN @NewDay with @AlisynCamerota in just a few moments. Be sure to tune in!	
Proud of my colleagues standing up for what makes me proud to be American #nomuslimban #RefugeesWelcomehttps://twitter.com/senatorcarper/status/825779110203027456 …	#nomuslimban #RefugeesWelcomehttps
We're a nation of immigrants & have tried to lead by example. But today the world sees America return to a politics of exclusion. My stmt:pic.twitter.com/m2gXF0TumB	
Building a wall across our entire southern border is nothing more than an expensive symbol of fear, insecurity, & xenophobia. My statement:pic.twitter.com/43NsqAy2Lb	
We can't have someone so extremely unqualified in charge of our education system – our children deserve better #StopDeVos	#StopDeVos
Since DeVos’ involvement in school reform, Michigan students’ achievement rates have plummeted. http://bridgemi.com/2016/12/betsy-devoss-michigan-legacy/ … #StopDeVos	#StopDeVos
Climate change is real. Scientists agree. So we need the facts. #climatefacts #DefendScience	#climatefacts #DefendScience
We need an @EPA Administrator who believes in #ClimateFacts, not one who fights limits on greenhouse gases:https://qz.com/888632/in-2011-scott-pruitt-received-a-letter-from-devon-energy-put-his-government-letterhead-on-it-and-sent-it-to-the-epa/ …	#ClimateFacts
Pruitt thinks human impact on climate change is “subject to continued debate & dialogue.” It’s not. #ClimateFactshttps://www.theguardian.com/us-news/2017/jan/18/scott-pruitt-epa-climate-change-debate-confirmation-hearing …	#ClimateFactshttps
We just lived through the three hottest years in recorded history, and human activity is responsible. #ClimateFactshttps://www.washingtonpost.com/news/energy-environment/wp/2017/01/18/u-s-scientists-officially-declare-2016-the-hottest-year-on-record-that-makes-three-in-a-row/ …	#ClimateFactshttps
I will be voting no on extreme Cabinet nominees like Scott Pruitt to run the EPA – our clean air and water are at stake:pic.twitter.com/DqWjY3X54s	
Betsy DeVos has proved she is extremely unqualified to lead Department of Education – that is why I will be voting not just no, but no waypic.twitter.com/9M1ilx9ms4	
Pleased to report @SenateDems infrastructure blueprint will invest in commuters, including $50B for Amtrak and railpic.twitter.com/PvXELAB6yQ	
. @SenateDems have a plan to create 15M jobs and restore America’s infrastructure: http://bit.ly/2k45MTr 	
When it comes to certain extreme Cabinet nominees like Betsy DeVos for Education, I'm voting not just no, but no way:pic.twitter.com/1hyRx3WDJK	
I also spoke with @CNNSitRoom about why I oppose Congressman Price for HHS Secretary and Gov. Nikki Haley for UN Ambassador:pic.twitter.com/XIIqt97WGR	
Joined @CNNSitRoom to discuss President's baseless lies on voter fraud, extreme nominees like Betsy DeVos and Scott Pruitt, and more:pic.twitter.com/30TCSqKlmO	
Read my full statement opposing Governor Nikki Haley's nomination for U.N. Ambassador:pic.twitter.com/bXshgqp2AJ	
(1/3) I’m impressed by President-elect Trump's nominee for Small Business Administrator @Linda_McMahon	
Read my full statement announcing my opposition to Congressman Mike Pompeo serving as Director of the CIA:pic.twitter.com/Np8UwhUOOQ	
Just joined @AriMelber on #MTPDaily to discuss the #womensmarch this weekend, the inauguration, and Dems' path forward:pic.twitter.com/ycoHgnO6dd	#MTPDaily #womensmarch
All women should have right to affordable, accessible health care. I am committed to fighting to repeal the Global Gag Rule once and for all	
Global Gag Rule turns clock back on women's rights by denying access to life-saving family-planning and reproductive health services	
Deeply troubled by @POTUS' move to reinstate dangerous Global Gag Rule that has hurt women's health around the worldhttps://www.theguardian.com/world/2017/jan/23/trump-abortion-gag-rule-international-ngo-funding …	
Read my full statement announcing that I will oppose Rex Tillerson's nomination for Secretary of State:pic.twitter.com/pD587JThzj	
That's why I reintroduced equal rights amendment – unacceptable that in 2017, women still do not have same constitutional protection as menpic.twitter.com/24ZMmUKLmx	
#WomensMarch this weekend powerful reminder that we must always remain vigilant in fighting for equality and justice for all Americans	#WomensMarch
Look up "public servant" in @MerriamWebster & you'd see a picture of this man. Happy birthday wishes to my friend @SenatorCarper #netDEpic.twitter.com/rKG02kMfCK	#netDEpic
Today is an important reminder of progress we've made, but we must remain vigilant in protecting women's reproductive rights #Roe44	#Roe44
Today is the 44th anniversary since the landmark Roe v. Wade decision empowering women to make their own health care decisions #Roe44	#Roe44
Welcome home Mr. Vice President, @JoeBiden #netdepic.twitter.com/aOdBM0a1l4	#netdepic
Jill & Joe, so proud to welcome you home to our state of neighbors today. Can't wait to see where your journey of service takes you next.	
8 yrs ago Delawareans proudly watched @VP44 & @DrBiden44 enter the White House. They've served with integrity & selflessness each day since.	
(4/5) I am attending Pres-elect Trump’s inauguration to honor our nation's democratic process & to support the peaceful transfer of power.	
At her confirmation hearing to serve as U.N. Ambassador, I questioned @nikkihaley abt #NATO, Iran deal, Russia & more. Watch exchange here:pic.twitter.com/cxZi73ReTd	#NATO
(1/2) A catastrophic cybersecurity attack could have widespread economic, military, health & financial implications: http://time.com/4636236/senators-cybersecurity-russia/ …	
Aside from leaving millions uninsured, repealing #ACA will add uncertainty into the market & raise costs– read more:http://delonline.us/2iIERI6 	#ACA
Germany is a sturdy ally, Russia a rival seeking to undermine democracy. Strongly disagree w @RealDonaldTrump. Watch my @NewDay interview:pic.twitter.com/KyuU1GAnfX	
(2/2) We also asked him if he will commit to recusing himself from any FBI or DOJ investigation into Russian hacking http://bit.ly/2iyvuPW 	
(1/2) Today I joined @JudiciaryDems to call on nominee for AG Sen Sessions not to block investigations into Russian hacking of 2016 election	
(1/2) @USCBOcostest forecasts repealing #ACA w/o replacement will leave 18 million uninsured in 1st yr alone- GOP must not repeal w no plan	#ACA
I joined @CNNSitRoom last night to discuss @RealDonaldTrump’s disturbing comments on #NATO. Watch our full exchange here:pic.twitter.com/KL345kKjuQ	#NATO
On @CNNSitRoom w/ @wolfblitzer tonight at 6p. Will talk PEOTUS rhetoric on NATO. Europe shares our interests/values. Russia does not.	
U.S. allies deserve nothing less than unwavering American leadership at NATO. My full statement on Pres-elect Trump's comments this weekend:pic.twitter.com/jOyCzS30qw	
As my friend @repjohnlewis says, 'We have come a great distance in this country...but we still have a great distance to go.' Let us march on	
Today & each day let us strive to remember these words from a Birmingham jail: Injustice anywhere is a threat to justice everywhere. #MLKDAY	#MLKDAY
Thankful for the opportunity to speak w/ young people at Bellevue Community Center about what Martin Luther King means to me #NetDE #MLKDAYpic.twitter.com/93zW03IOsi	#NetDE #MLKDAYpic
Began #martinlutherkingday by joining the Delaware State Bar Assoc. at annual MLK breakfast. DSBA members will be volunteering in community.pic.twitter.com/FbWXPqoA3U	#martinlutherkingday
Rep. John Lewis was beaten, bloodied & arrested 40+ times marching for civil rights. He is a true American hero & represents the best of us.	
My statement announcing my opposition to Senator Sessions' nomination for U.S. Attorney General:pic.twitter.com/goIAiwHoKO	
Just spoke to @TeamCavuto on @FoxNews – after 44 years of elected service, Joe Biden truly deserves the nation's highest civilian honor:pic.twitter.com/vtmVbFPFrD	
A great honor for this remarkable public servant and son of Delaware. Thank you, Joe, for everything. We can't wait to see what you do next.https://twitter.com/WhiteHouse/status/819652392471973890 …	
On behalf of the 50,000 Delawareans who would lose healthcare through repeal without replace, I voted nohttps://twitter.com/KellyO/status/819430216913350657 …	
Very moved by the powerful & courageous testimony of @CoryBooker @RepRichmond & @repjohnlewis at Sen. Sessions' hearing for #AttorneyGeneral	#AttorneyGeneral
Last night I questioned Sen. Sessions during his hearing for #AttorneyGeneral abt the Voting Rights Act:http://bit.ly/2j1VkZK 	#AttorneyGeneral
(6/6) He needs to see Russia for what it is: an adversary who has worked to undermine democracy in Europe and now in the United States.	
(5/6) Saying that 'we'll work something out' w Russia is not a policy. Pres-elect needs to fully acknowledge Russia's attack on US democracy	
(4/6) The President-elect also continued to show a lack of understanding of our country's relationship with Russia.	
(3/6) If the Pres-elect were sincere abt absolving himself of these issues, he should fully divest from his company & release tax returns	
(2/6) Pres-elect's legal maneuver announced today does not come close to sufficiently addressing his serious potential conflicts of interest	
(1/6) Today's press conference from the President-elect provided only new questions and no real answers	
Today I also asked Sen. Jeff Sessions about his views on banning immigration based on religion, free speech & more:http://bit.ly/2idxUyu 	
We’ve spent 6 yrs reaching across aisle to amend ACA to no avail. Repeal w no replacement will hurt fiscal health & leave millions uninsured	
