Happy Birthday, @CoachBillSnyder! Let's go @KStateFB, beat Texas! #EMAWpic.twitter.com/uitXDW2vhy	#EMAWpic
Our prayers are with the officer and his family. Glad to hear he is in fair condition.https://twitter.com/topeka_police/status/795100175920402433 …	
NEWS RELEASE: South Lawrence Trafficway is Complete, Project Critical to Economic Development and Public Safety http://bit.ly/2fk6bP6 	
South Lawrence Trafficway is complete! #SLT http://bit.ly/2fk6bP6 	#SLT
#SLT is the beginning of opportunity for NE KS rather than an end of a long process - enhancing economic growth, safety & quality of life.	#SLT
The South Lawrence Trafficway is a symbol of how Kansans can work together to get something done in the face of long odds.	
Very proud to be in Lawrence today for the ribbon cutting of the South Lawrence Trafficway.pic.twitter.com/s7TLBbT2to	
Had a great discussion with the Liberal Chamber of Commerce. Thanks to President Rozelle Webb.pic.twitter.com/syY7U9EGzt	
Thanks to the Rotarians of Sublette for a warm welcome today.pic.twitter.com/srBWawoumV	
One of my favorite views, the Flint Hills in the fall.pic.twitter.com/EQW1l4y37x	
Happy Halloween!pic.twitter.com/ysE6YTm7ec	
It is regretful that this matter wasn't more fully reviewed some months ago, but it is certainly appropriate to take a hard look at it now.pic.twitter.com/1HVmcMBJHn	
We must repeal and replace #Obamacare before more Kansas families are hurt by these skyrocketing premiums.http://ksn.com/2016/10/26/affordable-care-act-rate-increases-could-impact-kansans/ …	#Obamacare
Check out the latest Roberts Report for an update on stops around the state, @IStillLikeIke, rural health, & #GITMO. http://bit.ly/2dL5Ss1 pic.twitter.com/cn5RgxbmAT	#GITMO
Today is #DayOfTheDeployed. Take a special moment to honor our men & women in uniform, away from their loved ones at home & in harm's way.pic.twitter.com/TAgvMmVYRt	#DayOfTheDeployed
I'm proud to have voted to repeal #Obamacare & I will continue to work for reforms that actually lower the cost of healthcare for Americans.pic.twitter.com/UzVhAG0FTj	#Obamacare
Kansas is proud to be the new home of the @AmericanRoyal We are honored to carry on the ag tradition and legacy of the Royal.pic.twitter.com/4NwJZ8Ja3S	
ICYMI: I wrote an op-ed on a burdensome #Obamacare tax hurting small biz, farmers & ranchers, that we must repeal. http://fbnews.fb.org/FBNews/Viewpoint/Congress_must_act_to_permanently_stop_the_HIT.aspx …	#Obamacare
The failings of #Obamacare are too large to ignore. We must replace this broken law before it hurts more Americans.http://www.wsj.com/articles/rate-increases-for-health-plans-pose-serious-test-for-obamas-signature-law-1476822335 …	#Obamacare
This is the third time he has served with the Big Red One, and it is an honor to have his steadfast leadership at @FortRiley.pic.twitter.com/J9aUQMAeMM	
Very pleased to welcome Maj. Gen. Joseph Martin as the new commanding general of the @FightingFirst at @FortRiley.pic.twitter.com/UrcGGV4ONy	
from @PeterZampa & @wibw, "Eisenhower Memorial moving ahead in Washington, D.C." http://www.wibw.com/content/news/Eisenhower-Memorial-moving-ahead-in-Washington-DC--397124471.html … @IStillLikeIke	
Read abt the need for better access to broadband from @DionKansas, "Lousy internet the newest threat to rural KS."http://www.kansas.com/news/state/article108603497.html …	
Celebrating Eisenhower's birthday today, I look forward to the completion of the national memorial in his honor. Happy Birthday, Ike!pic.twitter.com/LKSs9XRQLQ	
Thanks to @LawrenceChamber for giving me the chance today to answer questions and hear the concerns of your members.pic.twitter.com/J2MuIh3hKC	
Happy 241st birthday to the @USNavy!!pic.twitter.com/n7Cy09TGq3	
Congratulations @FortRiley on today's opening of the Irwin Army Community Hospital, a "wow" facility for our soldiers & veterans! #TeamIACHpic.twitter.com/TwjTykO1BT	#TeamIACHpic
I'm so proud to see @FortRiley's Irwin Hospital opening for our service members, their families & veterans after so many years of effort.pic.twitter.com/TgXmgjbMMW	
An impressive facility! Great to be at @FortRiley today for the ribbon cutting of the new Irwin Army Community Hospital. @FightingFirsthttps://twitter.com/JaredTKSNT/status/786289064001490945 …	
Heartwarming story from @USD445 of SFC Jake Fontes surprising his daughter after returning from 4th tour of duty.http://www.newson6.com/story/33368146/returning-coffeyville-soldier-surprises-daughter-at-school …	
To all those observing Yom Kippur, may you have an easy fast.pic.twitter.com/wquVqwt7Dt	
I am proud of @SpiritAero and our highly skilled aviation workers in Wichita #whereflightbegins #aircapitaloftheworld	#whereflightbegins #aircapitaloftheworld
@SpiritAero builds the 787 forward fuselage & engine pylons in Wichita.pic.twitter.com/GkrbATkqbL	
Congrats to @SpiritAero and CEO Tom Gentile on delivering key components to Boeing for the 500th 787 Dreamliner. #whereflightbeginspic.twitter.com/QmGwxkNcW3	#whereflightbeginspic
It was a great visit. Thank you for having me!https://twitter.com/AWGCorporate/status/785876388867821568 …	
Thank you to Mike Roth and 2i Feeders for the tour of the fiber-connected feedlot & sharing how broadband is revolutionizing production #ag.pic.twitter.com/kTfnZbIm9w	#ag
Thank you @AjitPaiFCC & KS rural telecom carriers for joining yesterday's roundtable on the importance of broadband to rural communities.pic.twitter.com/1TMXU59yt8	
Congratulations @WIBWNews/KAN Farm Director Kelly Lenz on being inducted into the KAB Broadcasters Hall of Fame! An honor well deserved.pic.twitter.com/3yXO2E2JBA	
