#TaxReform is the key to economic growth and vibrancy for future generations.pic.twitter.com/Ut0Me5saew	#TaxReform
I’m so glad @POTUS just signed our bipartisan bill into law!	
HAPPENING NOW: Hosting a #Broadband Caucus discussion focused on #infrastructure priorities for the year. WATCH LIVEhttp://bit.ly/2jXjfvn 	#Broadband #infrastructure
Sat down with King Abdullah of Jordan yesterday to discuss the unrest in Syria. He is a good friend to our country.pic.twitter.com/8XQL487eLj	
My statement on #SCOTUSnominee Judge Neil Gorsuch:pic.twitter.com/Bg7M1JI48I	#SCOTUSnominee
Saddened by the passing of former WV Delegate Otis Leggett. We shared an office and he showed me how to serve with grace.	
Took the lead on a letter urging @POTUS to expand #broadband access for all Americans: http://bit.ly/2kRog6v 	#broadband
JUST ANNOUNCED: More @fema funding heading to #WV to assist with #wvflood recovery efforts. Details: http://bit.ly/2kNltf6 	#WV #wvflood
Just voted to confirm @ElaineChao as @USDOT sec. Looking forward to working w/ her to improve WV’s infrastructure. http://bit.ly/2jzvZ82 	
. @DEAHQ is working w/ #CharlestonWV to become a safe, drug-free city. Glad my staff could be there for the program’s launch!pic.twitter.com/gNSdlEN1cr	#CharlestonWV
Proud to join with @SenateMajLdr to introduce a Senate Resolution overturning Obama’s anti-coal rule: http://bit.ly/2kkkTbc 	
Glad to receive a commitment from @POTUS that he is “all for the miners” https://www.youtube.com/watch?v=qnbX0pz4Mns&feature=youtu.be … @wchs8fox11	
Congrats to @coachpenn the new @WVSU_GoJackets football coach. I've known John since he was a young athlete & am very proud! Go State!	
Joined @ShannonBream on @FoxNews' @AmericaNewsroom to discuss #Obamacare, #SCOTUS & working w/ the new admin. WATCH:https://www.youtube.com/watch?v=01jnqjVFMJ8&feature=youtu.be …	#Obamacare #SCOTUS
Congrats to WV-native @SylviaBurwell on being named @AmericanU’s new president. #AU15thPrespic.twitter.com/zmQkPq1yJU	#AU15thPrespic
Enjoyed seeing @POTUS & @VP during our retreat in #Philly today. Glad he discussed putting #coalminers back to work.pic.twitter.com/Ei1KUkcTE9	#Philly #coalminers
. @POTUS’ America First Energy Plan shows commitment to eliminating harmful & unnecessary policies: http://bit.ly/2jKQkJr  via @WVMetroNews	
. @POTUS responded to this letter urging support for the #MinersProtectionAct saying he is all for the miners: http://bit.ly/2hdZ8FY pic.twitter.com/TKJWIOa8Fj	#MinersProtectionAct
Joined @SenGillibrand & @senrobportman's bill that provides relief to victims of human trafficking. Details here: http://bit.ly/2k46Lmy 	
Gov. @nikkihaley is extremely qualified to serve as @UN ambassador & I was glad to vote for her confirmation: http://bit.ly/2kfSX5v 	
The #PatientFreedomAct removes #Obamacare’s burdensome regulations, provides a comprehensive replacement plan & protects Black Lung benefits	#PatientFreedomAct #Obamacare
Whether you are a #Medicaid recipient, biz owner or family who is struggling, we need a health system that works for EVERYONE.pic.twitter.com/F7s99LUv39	#Medicaid
Tonight I voted to confirm @RepMikePompeo to lead the @CIA. Look forward to continuing our work together: http://bit.ly/2kaPdlM 	
Congrats @AjitPaiFCC on @FCC Chairmanship. Looking forward 2 continuing our work to bridge digital divide. Hope to have you in WV again soonpic.twitter.com/TTR2bZ2Hgv	
Today I joined @BillCassidy @SenatorCollins @SenatorIsakson to introduce a comprehensive #Obamacare replacement plan http://bit.ly/2j6plWv 	#Obamacare
Thrilled @POTUS plans to nominate my good friend & former colleague @HeatherAnWilson as @usairforce secretary. Excellent pick for the job.	
Great turnout for the Neighbors Loving Neighbors block party honoring #wvflood recovery assistancepic.twitter.com/ltAjYkbWqU	#wvflood
Reintroduced the #MinersProtectionAct this week to ensure that we keep the promise to our hardworking WV miners: http://bit.ly/2jxcrFu 	#MinersProtectionAct
New investment in Weirton will bring dozens of skilled jobs. This is great news! @WTRF7News has the details:http://bit.ly/2jHWlZa 	
Glad @POTUS is making #energy a top priority on day one: http://bit.ly/2iK2JQp 	#energy
Voted to confirm @POTUS nominees Mattis and Kelly for key national security posts: http://bit.ly/2jJaPbG 	
Enjoyed sitting next to @thejointstaff chairman Gen. Dunford at the #inaugural lunchpic.twitter.com/uWzU9RTEaC	#inaugural
Scenes from @POTUS’ swearing-in. It’s an honor to represent West Virginia at the #inauguration.pic.twitter.com/JXnqWNSEYq	#inauguration
Congratulations to the 45th @POTUS Donald Trump. You have provided much hope in #WV & I look forward to working w/ you.	#WV
Charlie and I are getting ready to head out to the West Front of the @uscapitol. Big day today! #Inauguration pic.twitter.com/WFhfGJYuI2	#Inauguration
Held up my end of the wager & gave @RosLehtinen some of my homemade WV #PepperoniRolls. Great to visit w/ her!pic.twitter.com/Hl1FU9WEyb	#PepperoniRolls
Chatting with a group of student reporters from the @DailyAthenaeum during my #Inauguration open house today.pic.twitter.com/SCPZjxxChA	#Inauguration
Ran into some folks from Bluefield on my way back to my office. Love having so many WVians in town for the #Inauguration festivities!pic.twitter.com/Y2XzAxlvjI	#Inauguration
Met up with The Frankfort High School Band on the Senate steps today. Can’t wait to watch them in the #Inauguration parade tomorrow! pic.twitter.com/9BpdhVMqFU	#Inauguration
Met some WV miners at today’s @EPWMaj hearing for @ScottPruittOK. Glad my colleagues could see those who are affected by @EPA's policiespic.twitter.com/muJM3AcLIb	
#Broadband expansion was my main focus during today’s @SenateCommerce confirmation hearing for @CommerceGov nominee: http://bit.ly/2joJgBI 	#Broadband
Sending prayers and best wishes for a speedy recovery to @GeorgeHWBush and First Lady Barbara Bush.	
Comforting to know that @ScottPruittOK would visit WV to see firsthand the economic devastation current @EPA has caused.	
Obama’s @EPA hasn’t given any indication it cares about economic impact of its harmful policies. @ScottPruittOK would change this.	
. @ScottPruittOK just assured me that if confirmed, he will ensure @EPA follows law and evaluates economic impacts of its policies.	
. @ScottPruittOK has been a driving force behind the legal battle vs. @POTUS environmental policies & overreaching regs.	
. @ScottPruittOK is the best choice for @EPA admin. and would help restore #EPA to it’s original, lawful mission	#EPA
Just re-intro’d #MinersProtectionAct to ensure the promise of health care benefits to miners & their families. MORE: http://bit.ly/2jtJhai 	#MinersProtectionAct
Best wishes to Governor Justice on his swearing-in day. I’m hopeful we can work together to strengthen WV.pic.twitter.com/GC9FE4zBUK	
I encourage all WVians to join me in honoring the legacy of Dr. Martin Luther King Jr. by uniting together behind his dream. #MLKday2017	#MLKday2017
Great to meet Dr. @JenkinsWVSU11, the new president of @WVStateU. That’s where I held my 1st job!pic.twitter.com/SNqS2NvBKW	
. @WVMetroNews has more details about how I’m working to spur redevelopment in communities affected by job loss: http://bit.ly/2idlQ58 	
First #Skype of the #NewYear w/ McKinley Elementary as part of my #WVGirlsRiseUp program!pic.twitter.com/OL3dN7N4nR	#Skype #NewYear #WVGirlsRiseUp
Announced my 1st bill of the 115th Congress - the #CORE Act. Learn how this will spur investment in coal communities http://bit.ly/2j4CNhQ 	#CORE
Met with several #Trump nominees last wk-all who are facing confirmation hearings in the Senate. Get the scoop here: http://bit.ly/2iR1jCY 	#Trump
ICYMI: Read about my mtg w @EPA nominee @AGScottPruitt before his confirmation hearing this wk: http://bit.ly/2jvcZMi  via @WVMetroNews	
Have you heard about #WV’s newest cidery @SwilledDog? They are using local products, supporting local bizs & giving back to WV!	#WV
Joining @SenateCommerce will position me to help make #broadband access a reality in #WV: http://bit.ly/2japFs0  via @BloombergBNA	#broadband #WV
Was proud to be in the House Chamber for the official counting of Electoral College votes to certify Donald Trump as president.	
Look who is smiling because she's turning today. Our beautiful granddaughter Rose Barbara Capito. pic.twitter.com/3gqiUsJJCg	
Met w/ @USDOT nominee @ElaineChao today & discussed our visions for modernizing America’s transportation #infrastructure.pic.twitter.com/xTYPUpFovg	#infrastructure
I support @marcorubio & @SenatorCardin's resolution to renew U.S. commitment to Israel & end anti-Israel efforts at the @UN	
Newly passed water infrastructure bill will modernize water systems & address flood prevention. This is a win for WV http://bit.ly/2hOhPCl 	
Fighting for WV’s coal industry is always one of my top priorities: http://bit.ly/2i6wXsk  via @WVMetroNews	
After mtg w @AGScottPruitt, I’m confident his leadership is exactly what #WV needs. I’ll work hard to make sure he’s confirmed as @EPA adminpic.twitter.com/4iVGPSOFaP	#WV
Had a productive mtg w @ENERGY Sec. nominee @GovernorPerry. Looking forward to working w/ him to expand WV’s energy infrastructure, researchpic.twitter.com/tiuKz09KdD	
Start 2017 at one of our beautiful @WVStateParks by participating in a First Day Hike. Bundle up and get outdoors! #WildAndWonderful	#WildAndWonderful
Happy New Year! Looking forward to a productive year ahead working for the great state of West Virginia!	
A big congrats to the Frankfort High School Band from Ridgeley, WV for being selected to take part in the @TrumpInaugural parade on Jan. 20!	
Urging @realDonaldTrump to go the extra mile and include broadband in any infrastructure program: http://bit.ly/2h4WLVg  via @TheJournalWV	
I’m going to continue fighting in 2017 for a long-term solution for our miners and their families: http://bit.ly/2hMv738 	
Agree w @samhsagov's Dr. Everett: @huntingtoncity has right approach to curbing opioid abuse http://bit.ly/2hSvIww  via @heralddispatch	
Good luck to the @WestVirginiaU teams competing in the @NASA Mars Ice Challenge. WVU was the only school to have 2 teams chosen. Congrats!	
Read my op-ed on the many benefits #21stCenturyCures will bring WV, including treatment for #Alzheimer’s & more:http://bit.ly/2ivNoSV 	#21stCenturyCures #Alzheimer
Merry Christmas to all West Virginians!https://www.youtube.com/watch?v=Jgj6b75TszQ …	
Wishing all West Virginians who are celebrating a happy first night of #Hanukkah.	#Hanukkah
Kicking off the #Christmas weekend by serving meals to those in need at Mountain Mission in Charleston.pic.twitter.com/QbBZsreccn	#Christmas
I’m looking forward to undoing the damage of the last 8 years & offering change for the better: http://bit.ly/2hp6KrB 	
Grateful to @AARPWV @AARPVa & @AARPKY for their contributions to help w/ #wvflood recovery:http://bit.ly/2huwXVZ 	#wvflood
All WVians deserve a place to call home. Glad to announce housing facility grants to help those in need find shelter http://bit.ly/2hr4UUe 	
Thrilled @NASA Administrator Charles Bolden is in WV visiting @NASAIVV in Fairmont & @wvustatler Robotics Center.pic.twitter.com/IP9AfqXHu7	
ICYMI: Last night I announced additional #wvflood funding. This is great news as WV continues to rebuild. More here:http://bit.ly/2gY2kEm 	#wvflood
Ken Hechler left a profound mark on our state, and I will always be grateful to have known such an incredible man.pic.twitter.com/dj88nsEOUA	
JUST ANNOUNCED: Secured more than $87 million in additional flood relief funding for West Virginia. Details here: http://bit.ly/2hT2Bd6 	
Just before leaving office, @POTUS issues latest reg to harm WV coal jobs. I’m vowing to block this: http://bit.ly/2hMENKY 	
I met up w/ @chucktodd at @BlackSheepWV in Charleston this week. Tune in to @MeetThePress today to find out more. #MTPpic.twitter.com/jCzMB61llT	#MTPpic
The upgrades made to @BooneMemorialWV will provide the modern, quality medical health care residents deserve.pic.twitter.com/XCSSK3erWc	
Went to Capitol Market in Charleston last night to get a Christmas tree with our granddaughter Eliza. It was a cold one! pic.twitter.com/qzpsKdCISw	
I’m still fighting for our miners. Hoping @realDonaldTrump will join the fight. http://bit.ly/2hw6Q1g  via @WVMetroNews	
Recently, my staff presented #PearlHarbor 75th anniversary coins to WWII vets like Mr. Keller pictured here in Martinsburg.pic.twitter.com/pzh08cEELZ	#PearlHarbor
With GOP majorities in WV & DC, we have an opportunity to shake things up. More here: http://bit.ly/2hw5d3H  via @BDTonline	
. @GovernorPerry's @ENERGY nomination is encouraging news. Look forward to working w/ him on WV's top energy priorities, including @NETL_DOE.	
#CuresAct "is the first of its kind that aims specifically to help people w/ eating disorders” - @wvgazettemail http://bit.ly/2hiGMWI 	#CuresAct
Our miners deserve better. Read my letter to @realDonaldTrump asking for his administration's help w/ their benefits http://bit.ly/2hlORug 	
High-speed internet can make the difference when it comes to delivering health care to rural communities:https://www.youtube.com/watch?v=JOBaHnv1IQQ&feature=youtu.be …	
Calling on @realDonaldTrump to expand #broadband access and infrastructure in rural US. Read it here: http://bit.ly/2hlwJkf 	#broadband
Ken Hechler was a good friend to our family and dedicated public servant. My thoughts and prayers are with his family.	
People said ‘we’re tired of it, we want to shake it up.’ http://bit.ly/2h07n8j  via @WVMetroNews	
Following tonight’s vote, I'm calling on @realDonaldTrump to prioritize miners' benefits early in his administration http://bit.ly/2hdZ8FY 	
My statement on Miners Health and the Continuing Resolution: http://bit.ly/2guMIuI 	
Joined with @SenatorRounds & @amyklobuchar to urge the @DeptVetAffairs to comply w/ the law.https://twitter.com/SenatorRounds/status/807214750220357633 …	
Proud to have helped push this legislation across the finish line. Many provisions included to benefit WVians.https://twitter.com/EDCoalition/status/806649482704207876 …	
Glad you liked my gift @SenFrankenhttps://twitter.com/clairecmc/status/806593369065537536 …	
Today marks the 75th anniversary of the attack on #PearlHarbor. We remember those who died in the attack & the war that followed.pic.twitter.com/u2NkxxLQap	#PearlHarbor
. @KellyAyotte has served New Hampshire w/ compassion, integrity & honor. I was proud to work with her on many important legislative efforts	
My statement on the miners provisions in the CR:pic.twitter.com/D4vOcxxVv1	
Honored to meet Kitty Westin. Her daughter inspired #AnnaWestinAct & she has dedicated her life to raising awareness about eating disorderspic.twitter.com/TxNhxBkICd	#AnnaWestinAct
Skyped w/ 5th grade girls at Logan Middle School this AM to see how they're doing on the #WVGirlsRiseUp Challenge. A fun & inspiring convo!pic.twitter.com/m4PCnjqHvi	#WVGirlsRiseUp
Congratulations to @huntingtoncity's 1st female Fire Chief Jan Rader. Looking forward to working with her!http://bit.ly/2ggHQcG 	
Watch my speech below and view the full speech text here: http://bit.ly/2gwcxIw https://www.youtube.com/watch?v=aimaFlZvm3c&feature=youtu.be …	
We need immediate action to save coal miners' benefits. I spoke on the @Senatefloor & urged my colleagues to support the solution before us.	
Glad our Senate #coalash provision was included in the #WRDA deal announced today: http://bit.ly/2hbh3jB 	#coalash #WRDA
Yesterday at @WVDCH's opening of their #PearlHarbor exhibit, I met Mr. Brightwell who served during WWII.pic.twitter.com/kKAmsZn9Mu	#PearlHarbor
Congrats to @wvuwomenssoccer & @ucwv_msoccer on tremendous seasons. So proud of your accomplishments. You make WV proud!	
This morning, I convened West Virginia’s Republican congressional & state elected leaders to discuss our work on behalf of West Virginians.pic.twitter.com/2ArKjTouyo	
Proud to see my son Moore sworn in as the newest member of the WV House of Delegatespic.twitter.com/RHmb2L2wdL	
Good luck to @ucwv_msoccer today in the #D2Soccer Championship! #MakeItYours	#D2Soccer #MakeItYours
Wrapping up a week dedicated to fighting for our miners & expanding rural healthcare. More here:https://www.youtube.com/watch?v=Hl9GQzWYv8Y&t=8s …	
Lucky to work alongside such hardworking and fun colleagues. We’ll keep fighting for Americans’ priorities in the 115th Congress.https://twitter.com/SenateGOP/status/804702405556338688 …	
Today I voted to extend Iran sanctions, an essential tool to prevent nuclear proliferation and keep Americans safe: http://bit.ly/2gNup2L 	
Spent the evening w/ the Simcakoski family & thanked them for their hard work on the opioid safety bill @SenatorBaldwin & I helped pass.pic.twitter.com/KgTvosYQ6a	
Took a moment today to thank our troops & wish them #HappyHolidays. Thanks to @RedCross for hosting this meaningful event.pic.twitter.com/w9GQqppm2v	#HappyHolidays
Thanks to fellow WVian @RepEvanJenkins for introducing the House version of the #COREAct, which will create new opportunities for our state.	#COREAct
Elaine Chao is a trail blazer with a proven record of leadership. She’s an excellent choice for @USDOT Secretary. http://bit.ly/2guDZXM 	
Grateful for the volunteers who recently helped those impacted by the #wvflood get into new homes in White Sulphur Springspic.twitter.com/RrybXs172u	#wvflood
. @IntelligencerWV agrees the #COREAct is a needed step to boost our economy in WV. Read about it in their editorial: http://bit.ly/2fOAv4s pic.twitter.com/JQE1FsqiCB	#COREAct
My staff is hitting the road tomorrow for mobile offices! If you’re in the Parkersburg or Franklin areas, stop in!pic.twitter.com/ew2HK6MD6H	
WV counties w coal job losses are in need of new economic investment. @wvstatejournal has details on my new effort http://bit.ly/2gbb9hx 	
Good luck tonight @HerdFB. Beat @WKUFootball! #STAMPEDE16	#STAMPEDE16
. @WVUfootball, how about a win today for my birthday?! #LetsGo #Mountaineers!	#LetsGo #Mountaineers
#Throwback to a happy time celebrating my birthday with family.pic.twitter.com/mBa6t9ddbz	#Throwback
Today is the day to get out and support local small businesses! #ShopSmall	#ShopSmall
Glad to support Berkeley Springs’ progress on their streetscape project.pic.twitter.com/yNo8JN2FEx	
Loved seeing the #PrideofWestVirginia @WVUMarchingBand at the Macy's Thanksgiving Day Parade. Looked & sounded great!pic.twitter.com/JBJHBfqQRp	#PrideofWestVirginia
My husband Charlie and I wish all West Virginians a very happy and safe Thanksgivingpic.twitter.com/whJ5vzNbix	
My staff celebrated an early #Thanksgiving w/ folks over at the Hansford Senior Center. Looks like they are getting into the holiday spirit!pic.twitter.com/Ak1PyUZlrX	#Thanksgiving
Proud to jump on board @SenatorTimScott's bill that encourages investment in economically distressed communities: http://bit.ly/2ghzjFk 	
Passing the Miners Protection Act before years end is critical. Read my letter w/ @Sen_JoeManchin urging its passage http://bit.ly/2fBMYFr 	
, I couldn’t agree more! I hope all West Virginians will join me in fighting for @GrnBnkTelescope by submitting comments.	
Happy 40th wedding anniversary to my husband Charlie. Looking forward to many more wonderful years with you!pic.twitter.com/aH2DmXqmmk	
We were back in Washington this week w/ lots of important work ahead. Read more about this & my new bill to help WV: http://bit.ly/2g2XVQe pic.twitter.com/2vvz8QK5qh	
Starting off Saturday night football by cheering on @HerdFB. Beat @FIUFootball! #STAMPEDE16	#STAMPEDE16
Hey @jiminhofe & @SenatorLankford, are you ready to see what @WVUfootball is made of? #LetsGo #Mountaineers! Beat @OU_Football! #HailWV	#LetsGo #Mountaineers #HailWV
The Guios were in town from Follansbee and stopped by my office for a quick visit. Really enjoyed meeting them.pic.twitter.com/JIu7jBGffM	
I was honored to receive @goFAAR's 2016 Leadership Award this AM. Alcohol responsibility can save lives & create safer communities for all.pic.twitter.com/3M6EpnQGU3	
Glad @RepStefanik & @repmarkpocan intro’d House companion of my bill w @SenGillibrand to improve rural #broadbandhttp://bit.ly/2f4FNEL 	#broadbandhttp
Today is World #PancreaticCancer Day. Let’s raise awareness & #WageHope for those affected. #WPCD	#PancreaticCancer #WageHope #WPCD
It's always fun to catch up with former interns and see their progress - yesterday I saw Abigail, who worked in my Charleston office.pic.twitter.com/c12PIeupYr	
Rural healthcare providers are especially important in WV so pls join me in thanking them today for their hard work. #powerofruralpic.twitter.com/4pjxe7STKm	#powerofruralpic
I met w econ. development officials in CRW last wk to discuss the #COREAct & how it will create a stronger foundation for our workers & bizpic.twitter.com/4O8ZWKBmiq	#COREAct
WV & 11 other states are underserved. #COREAct can create new jobs, spur biz investment, revitalize communities & strengthen local economies	#COREAct
#COREAct leverages the power of New Market Tax Credits ( #NMTC) to encourage economic investment in struggling communities throughout U.S.	#COREAct #NMTC
Intro’d the #COREAct to help spur investment in communities facing job loss after downturns in coal industry. http://bit.ly/2fVd0o6 	#COREAct
Pleased to support the Gold Star Families Voices Act so families of deceased service members can preserve their loved ones’ memories.	
Had a productive meeting with @ONDCP Director @Botticelli44 today about our teamwork toward a #drugfreeWV.pic.twitter.com/clCAZ9hEti	#drugfreeWV
. @Bombardier's Bridgeport expansion means hundreds of new jobs & an economic impact of $1B. Wonderful news for WV. http://bit.ly/2fD6XnU pic.twitter.com/oHp5A18ctG	
Mark your calendars for #SmallBiz Saturday on Nov 26. Support a local business in your hometown and #ShopSmall!	#SmallBiz #ShopSmall
Today we remember the 75 members of @marshallu staff & @HerdFB team whose lives were taken far too soon. #WeAre #Marshall	#WeAre #Marshall
I’ll be speaking with Bray Cary on Decision Makers at 8:00 this morning – tune in!	
Honored to join WV #veterans like Commander Bill Harris in Cameron for their @AmericanLegion Banquet. Incredibly grateful for their service.pic.twitter.com/y4GcJIiYKq	#veterans
Big game tonight in @huntingtoncity for @HerdFB! #STAMPEDE16	#STAMPEDE16
Looking forward to cheering on the #Mountaineers during the game today. Let’s go @WVUfootball! #HailWV	#Mountaineers #HailWV
Beautiful morning in Charleston where we honored our veterans. Thank you for your service! #VeteransDay pic.twitter.com/5R1WoUZAf4	#VeteransDay
Expressing my sincere gratitude today to those who put their lives at risk to protect our country & values. THANK YOU VETS! #VeteransDaypic.twitter.com/aNuEZbS8Kw	#VeteransDaypic
Glad to be in a room with so many of our nation's future leaders. Thanks @wvusga for inviting me to take part in the #Big12SGA Conference.pic.twitter.com/a0x6vG1ZxS	#Big12SGA
Glad there was a large turnout for last night’s public meeting on the future of @GrnBnkTelescope observatory.pic.twitter.com/dqPikn45PK	
Huntington VAMC chosen for @FisherHouseFdtn construction is great news for vets & families. More on the announcement http://bit.ly/2fmDLRJ 	
Met some friendly #Clydesdales & their caretakers who are in town for the Ripley #VeteransDay parade pic.twitter.com/bzbETX4fsM	#Clydesdales #VeteransDay
Congrats @wvuwomenssoccer for earning the #1 seed in the @NCAASoccer tournament. FIRST time in @WVUSports history!https://twitter.com/NCAASoccer/status/796004556173955074 …	#1
My staff celebrated @RecoveryPointWV's new Charleston location, which will benefit women recovering from addiction. http://bit.ly/2fzGLOJ pic.twitter.com/CjfIgx5DH4	
During #NFCMonth, we honor the WVians who dedicate their lives to caring for loved ones in need: http://bit.ly/2cEqXnx 	#NFCMonth
#GoPurple this Nov to raise awareness for #Alzheimer’s research. Find out ways to help #endalz here: http://www.alz.org/wv/  via @fightalzwv	#GoPurple #Alzheimer #endalz
Don’t forget to change your clocks tonight! #daylightsavings	#daylightsavings
I’ll be flipping back and forth between the @HerdFB & @WVUfootball game tonight. Which one will you be watching at 7? #HailWV #STAMPEDE16	#HailWV #STAMPEDE16
. @Register_Herald has details about funding I announced to help pregnant mothers and their babies. Read it here: http://bit.ly/2e8QlHz 	
My staff helped Elkview Middle reopen its new gym, which was damaged in #wvflood. Great to see our communities rebuild.pic.twitter.com/AlJ4umlU5o	#wvflood
Sent letter to @JohnKerry calling on administration to be candid w/ international community about US #ParisAgreement http://bit.ly/2f1Hoil 	#ParisAgreement
. @CMSGov announcement that Medicare plans to support #Alzheimer’s patients & families is welcome news for millions: http://bit.ly/2e8w1G2 	#Alzheimer
Happy 60th birthday @CHHnews! Had the chance to see the quality services they provide WVians during my @HoopsChildrens visit last week.pic.twitter.com/vjxViqAdOv	
Announced funding to reduce infant mortality, promote better birth outcomes & ensure healthy WV mothers & children: http://bit.ly/2f5BkD2 	
Got some great questions from Teays Elementary students about how our government works and why public service is so important.pic.twitter.com/EVhQQPWsd2	
During #HospiceMonth, I’m raising awareness about hospice care through my Compassionate Care Act. More details: http://bit.ly/1YS5v0o 	#HospiceMonth
Helped secure grants & loans from @USDA that will improve and repair water & wastewater systems in rural WV: http://bit.ly/2eaEwf7 	
Flu shot . Thanks Kanawha-Charleston Health Department!pic.twitter.com/ordR8kZis0	
Received a warm welcome from the leadership team at Scott Teays Elementary! cc: @PutnamWVSchoolspic.twitter.com/zc7XD9u6aO	
Ready for some more #football! Rooting for @HerdFB in tonight’s matchup against @SouthernMissFB. Let’s go #Herd! #STAMPEDE16	#football #Herd #STAMPEDE16
Excited to watch @WVUfootball take on @CowboyFB this afternoon. Help me cheer them on at noon today! #HailWV #LetsGo #Mountaineers	#HailWV #LetsGo #Mountaineers
Not only has the internet changed how WVians live & work, it has fueled economic growth. Rural America need this access to compete & thrive.	
Successful #smallbiz crawl yesterday in @ParkersburgCity w the @InternetAssn, highlighting my #CapitoConnect Plan: http://bit.ly/2e4MlWU pic.twitter.com/hcaN7pIDGD	#smallbiz #CapitoConnect
Saw the expanded emergency room at @CamdenClarkMC that was built with local contractors and architects this afternoon.pic.twitter.com/2fiCJz0zTQ	
Announced $9M in economic development funding to aid economic growth & recovery in WV’s hard hit coal communities http://bit.ly/2eUt9d3 	
Why did this IT support company relocate to Parkersburg? High-speed internet.pic.twitter.com/7gJznuID2Y	
Schrader Youth Ballet relies on social media for marketing purposes. #Internet is to the success of this #smallbizpic.twitter.com/K5wzCbF2D9	#Internet #smallbizpic
. @Netranom1, which recently opened a PKB faciltity, is a perfect example of how #broadband investments are bringing bizs to the reigionhttps://twitter.com/InternetAssn/status/791641758048411648 …	#broadband
Started the tour with a cup of coffee & conversation. @coffeebarmov is using the internet & e-commerce to ship products across the USpic.twitter.com/fsIwuBiwbt	
In @ParkersburgCity today w/ @InternetAssn to see the positive impact #broadband has on #smallbiz in the area.	#broadband #smallbiz
Heard from employees at Marathon Petroleum. The facility processes sweet crude oil from Utica Shale region in WV.pic.twitter.com/F5aBHAroIg	
Glad to see @marshallu & @universityofky partner on a research grant to improve health care for Appalachian regionhttp://bit.ly/2f8soRs 	
Stopped by Alcon in Huntington, one of the only producers of lens implants for cataract surgery in the world, to discuss medical innovation.pic.twitter.com/CGDXvckMlN	
Chatting w/ Dr. Loudin & Sarah Murray about the valuable care they provide neonatal babies here at @HoopsChildrens.pic.twitter.com/qdOISkaw55	
What excellent news for the future of our state.https://twitter.com/WVMetroNews/status/790946071652425728 …	
Sharp increases in insurance rates are proof that #Obamacare is failing to deliver the affordability it promised: http://bit.ly/2eFXkFT 	#Obamacare
300 wins and another @Big12Conference championship for @wvuwomenssoccer this year. #HailWVhttps://www.youtube.com/watch?v=F7MaQdOGpU8 …	#HailWVhttps
. @DeptVetAffairs must be held accountable. Glad to join @SenatorKirk’s efforts to address corruption at the VA: http://bit.ly/2enAMKP 	
October Sundays are for long runs and... battling the falling leaves! https://www.instagram.com/p/BL6y-_aAllQ/ 	
Rural WVians like the folks I met today in Logan deserve access to quality care & health professionals.pic.twitter.com/5skZnnGW6F	
Incredibly proud of these new Eagle Scouts – West Virginia’s future leaders.pic.twitter.com/48RTXvAzki	
Natural beauty, natural resources, history & tourism are a few WV highlights I talked about at the @USDA Conference in Morgantown this AM.pic.twitter.com/HQwbzT42Ex	
Judge Bailey's ruling today that @EPA must consider the impact of regulations on coal job losses is encouraging news for WV & our economy.	
At @chemours today learning about plant operations & hearing directly from employees.pic.twitter.com/Up4sf8WBZW	
Discussed the economic development occurring in the Kanawha Valley region today during my visit to @WatcoRail in Kanawha Co.pic.twitter.com/e5MWvsGeh9	
Important space observation is taking place in Green Bank, West Virginia – home of the powerful #GreenBankTelescope.pic.twitter.com/hJnxHmpDfo	#GreenBankTelescope
Wonderful to have the support of @GwhsCavaliers Cheerleaders Jenelle & Lauren on Friday at the Rebuilding Rainelle home dedication.pic.twitter.com/cWUwWVeZZt	
ICYMI: New HIDTA designation for Monongalia county means more resources headed to WV to help fight the drug epidemic http://bit.ly/2dpx42e 	
Excited to be in @huntingtoncity w/ @MarshalluPres for @marshallu's homecoming celebrations. Go Herd!pic.twitter.com/ClWDIG29rs	
Who’s watching the #Mountaineers take on @TexasTechFB today? Good luck @WVUfootball! #HailWV	#Mountaineers #HailWV
Rainelle Mayor Andy Pendleton has been a true leader following #wvflood. Thank you for your tireless efforts to rebuild this beautiful town.pic.twitter.com/3iZnUZLv6B	#wvflood
Inspiring day in Rainelle marking the dedication of homes built following #wvflood. Thanks to @AppServProject volunteers for your hard work!pic.twitter.com/WaaGOjjWOG	#wvflood
Loved meeting Ava Adkins & her parents at last night’s @RMHC opening. New facility will provide much needed services for families.pic.twitter.com/17PqDyg3nr	
Happy birthday to Charles. Our firstborn!! pic.twitter.com/m1MCF8jr7f	
After mtg. w/ @DowChemical's leadership team today, I heard from employees during a town hall. Thanks for your questions.pic.twitter.com/Rcut0d1aaL	
Great news! Hoping this will lead to more breakthroughs like @WestVirginiaU's brain scanning helmet.https://twitter.com/NIH/status/786540657015873537 …	
. @IntelligencerWV has details about coal ash provision I helped secure in the recently passed #WRDA bill. More here: http://bit.ly/2dJlH8u 	#WRDA
Caught up with Monongalia County Deputy Sheriff Craig Ruscello while I was in town hosting an Academy Day. Thanks for your service, Craig!pic.twitter.com/thrUuRuChj	
Must-read @WVTelegram editorial on the importance of connecting WV & how my event w @MClyburnFCC was a positive step http://bit.ly/2e6YLf1 	
I was honored to talk with @BetaUpsilonKKG students & alumni about how @KappaKappaGamma taught me about the importance of leadership.pic.twitter.com/oWuip2dler	
