#BeatWisconsinpic.twitter.com/oP2IQFxcm1	#BeatWisconsinpic
Watch my latest tribute to fallen #NEhero Sgt. Germaine Debro of Omaha:pic.twitter.com/3ztsOhAnzj	#NEhero
Congrats on the win tonight, @Huskervball! #NCAAVB #GBR	#NCAAVB #GBR
My statement on the nomination of General Mattis:pic.twitter.com/ezDCngm2sD	
With nearly 4 decades of dedicated service, Admiral Haney deserves our most heartfelt gratitude & praise. Video: https://goo.gl/AhNU9S pic.twitter.com/YcxN1pz7tu	
Reminder: drop holiday cards off at my Omaha office for vets & military in NE communities any time before Dec. 6 #HolidayMailForHeroespic.twitter.com/pzBRr8xkJx	#HolidayMailForHeroespic
Stopped by @RedCross #HolidayMailForHeroes today to sign holiday cards that will be sent to U.S. troops serving overseas in Japan & Djiboutipic.twitter.com/OxOmGASIdb	#HolidayMailForHeroes
My statement on President-elect Trump's nomination of Elaine Chao for Transportation Secretary:pic.twitter.com/6J4GZ6txAx	
Way to go, @Huskervball! Congratulations on winning the #B1G conference title! #GBR #ChaseTheChampionshippic.twitter.com/JgBqPob2Y4	#B1G #GBR #ChaseTheChampionshippic
With reports of a tornado in south central Nebraska today, please remember to take all necessary precautions & watch your local weather.	
It’s Small Business Saturday. #ShopSmall to support the local businesses that make our communities stronger. #NEBizpic.twitter.com/PhfUQnRylO	#ShopSmall #NEBizpic
It's a great day for #Nebraska football. #GBRpic.twitter.com/gEWArlV7ua	#Nebraska #GBRpic
Enjoying Thanksgiving lunch with NE service members in Afghanistan. Thankful for all those who serve. #GodBlessOurTroops #happythanksgivingpic.twitter.com/pn3tVrV6zp	#GodBlessOurTroops #happythanksgivingpic
I was honored to spend this Thanksgiving with outstanding Nebraska troops currently serving in Qatar and Afghanistan. #GodBlessOurTroopspic.twitter.com/rYe7DTpCjN	#GodBlessOurTroopspic
Food. Friends. Family. #HappyThanksgivingpic.twitter.com/hG1AcZlxs0	#HappyThanksgivingpic
Say a prayer for our troops and have a great holiday. #HappyThanksgivingpic.twitter.com/IMlxRb57lX	#HappyThanksgivingpic
Joining w/ @RedCross on #HolidayMail for Heroes. Nebraskans can drop off cards for #vets & troops @ my Omaha office https://goo.gl/uiWrXm 	#HolidayMail #vets
Congratulations to @SenatorSessions, a well-respected public servant, keen legal mind & staunch defender of the Constitution.	
REMINDER: Nebraskans can submit Inauguration ticket requests through Jan 1. More info here: https://goo.gl/FkgvDg pic.twitter.com/1c2ReP7d0Q	
. @IreneNorth in the @sbstarherald on my legislative priorities for the new Congress. #WorkingForNE Read more:https://goo.gl/kU7hNa 	#WorkingForNE
My staff and I are wearing purple today for World #PancreaticCancer Day. Let's #WageHope & raise awareness for those battling this disease.pic.twitter.com/F3cmG7OWxh	#PancreaticCancer #WageHope
Great conversation with @NECattlemen President Barb Cooksley this afternoon. #Beef #ItsWhatsForDinnerpic.twitter.com/iCpfipJNth	#Beef #ItsWhatsForDinnerpic
With @IGsolidarityNET reps Elisabeth & Augusta during their Senate visit today. Great to see these Nebraskans making a difference. #IFTJ16pic.twitter.com/0FEAnKJ8j2	#IFTJ16pic
With renaming of Omaha post office in his honor, the legacy of Officer Caleb Nelson will live on. More from @KETV: https://goo.gl/WIMg7d 	
#GBRpic.twitter.com/wBAT8cYPPh	#GBRpic
Delivering remarks @ Beatrice #VeteransDay program. Thanks to our vets, our future is bright.pic.twitter.com/Etbng6h8pe	#VeteransDay
Grateful to spend some time with Nebraska #vets at Good Samaritan Home in Beatrice. #VeteransDaypic.twitter.com/PLB6UTsRBK	#vets #VeteransDaypic
Passing out poppies at the @HyVee #VeteransDay breakfast in Lincoln this morning. #ThankaVetpic.twitter.com/L0B6apLzfB	#VeteransDay #ThankaVetpic
Enjoyed starting the morning at the @Hyvee #VeteransDay breakfast visiting with our #vets.pic.twitter.com/5MnIQFbkz2	#VeteransDay #vets
Thank you to all those who have served to protect the cause of #freedom. #VeteransDay #GodBlesspic.twitter.com/YMdV5b63jD	#freedom #VeteransDay #GodBlesspic
Want to witness history? My office has a limited # of Inauguration tickets available for Nebraskans. Learn more: https://goo.gl/0QgT8y pic.twitter.com/0V8HleVaj5	#
Happy Birthday, @USMC! Thank you for 241 years of courage & service. #SemperFi #MarineCorpsBirthdaypic.twitter.com/5A20T32ZqC	#SemperFi #MarineCorpsBirthdaypic
Honored to award NE vet Dwight Wilson with the Presidential Unit Citation today (his birthday!) in #LNK. #ProudNebraskanpic.twitter.com/yBRxAGZ8lg	#LNK #ProudNebraskanpic
Make your voice heard. #Vote #ElectionDaypic.twitter.com/HTpfbr7lTM	#Vote #ElectionDaypic
Praying for @Huskers QB Tommy Armstrong Jr. in the wake of his injury during tonight's game. #PrayersForArmstrong #NEStrong	#PrayersForArmstrong #NEStrong
Let’s go @Huskers beat the Buckeyes! #GameDay #GBRpic.twitter.com/bw2n4Brj53	#GameDay #GBRpic
1st shipment of US #beef to #Israel in 13yrs left Hastings NE yesterday @AngusAssoc @beefusa @theindependent reports https://goo.gl/MjVKvO 	#beef #Israel
Congrats to @UNMC & @NebraskaMed on receiving award for new training center to fight deadly diseases. #LeadingTheWay #ProudNebraskan	#LeadingTheWay #ProudNebraskan
NE beef is on its way to #Israel for 1st time in 13yrs. Proud to work w @NEDeptAg, USDA, @ambshapiro on this. https://goo.gl/25IOT6 	#Israel
Toured Western Sugar Co-op in Scottsbluff yesterday. Strong economic engine for the #panhandle & #NE. #GrowerOwnedpic.twitter.com/s0RWlC0iZY	#panhandle #NE #GrowerOwnedpic
Mourning the loss of the Iowa police officers killed in an ambush attack. Our hearts are with their families & community #supportblue	#supportblue
Trick-or-treat! Have a happy and safe #Halloween. #TheGoodLifepic.twitter.com/GTh1WAOVJN	#Halloween #TheGoodLifepic
Nothing like Husker football! #GBRpic.twitter.com/i5yzi1K07A	#GBRpic
Touring the new terminal at Central NE Regional Airport in Grand Island today. #FlyGIpic.twitter.com/IA4tXsOCyo	#FlyGIpic
Proud to be named a @SBEcouncil champion & stand up for NE's #SmallBiz https://goo.gl/ko1bgM pic.twitter.com/MgPyiwZjp6	#SmallBiz
#TBT to my visit to the NE #GovResidence as a student. Fun to have photos I took on display there years later.pic.twitter.com/yo3bwK4rhX	#TBT #GovResidence
Read my letter to HHS Secretary Burwell demanding a thorough explanation of #ObamaCare automatic enrollment. (2/2) https://goo.gl/cp51ds 	#ObamaCare
To disguise ObamaCare's failures, the administration is taking personal health care decisions out of the hands of Nebraska families (1/2)	
Great to see firsthand the positive impact this call center has on the North O #community. #ProudNebraskan (2/2)pic.twitter.com/KrSkpEJhYD	#community #ProudNebraskan
Yesterday I enjoyed visiting North End Teleservices in North Omaha. #NEBiz (1/2)pic.twitter.com/IdpZoGgciL	#NEBiz
Read about yesterday’s groundbreaking for the Hwy 30 expansion in the @Col_Telegram #BuildNE #NebraskaInfrastructure https://goo.gl/5MB9Lj 	#BuildNE #NebraskaInfrastructure
Great to be @ the groundbreaking for the Hwy 30 expansion today. My #BuildNEAct made it possible #ProudNebraskan @kwbe1450 w/ more:pic.twitter.com/5ZSYb9B4jm	#BuildNEAct #ProudNebraskan
At @CHRobinsonInc in Omaha today, I was honored to receive the @USChamber Spirit of Enterprise Award #build #growthpic.twitter.com/fgoTL7wwdR	#build #growthpic
It’s Saturday in Nebraska. #GBRpic.twitter.com/n7eRKAxJfk	#GBRpic
Mourning the loss of the Speer family. Our hearts are with the Murray community in the wake of this terrible tragedyhttps://goo.gl/TnhAUA 	
The CFPB’s regulatory power must be checked. More on this in my oped in today’s @OWHnews: https://goo.gl/ZGPMON  #Accountability	#Accountability
Praying for the safe return of these @NENationalGuard members deploying to Iraq. @OWHnews w/ more: https://goo.gl/n1BVD1  #ProudNebraskan	#ProudNebraskan
