Religious freedom does not have to come at the expense of women's health.	
Did Trump receive a secured, encrypted smartphone for his personal use on or before Jan. 20? If so, is he using it?http://thehill.com/blogs/floor-action/senate/319218-senate-dems-worried-about-trumps-use-of-personal-smartphone …	
Trump should be well aware by now of the appropriate and necessary protocol to safeguard our nation's secretshttp://www.politico.com/story/2017/02/donald-trump-security-cyberattacks-leaks-234973 …	
These days, some people are blinded not by science but by ignorance #DefendScience #DefendEPAhttp://delawarepublic.org/post/delawares-two-us-senators-join-effort-protect-scientists …	#DefendScience #DefendEPAhttp
I voted against the nomination of Steven #Mnuchin to serve as our next Treasury Secretarypic.twitter.com/JatTH5T4xI	#Mnuchin
Disconcerting that Trump and his team found it appropriate to discuss matters of national security in a clearly accessible, open environmenthttps://twitter.com/nytimes/status/831246502446166019 …	
I look forward to hearing from @DeptofDefense about the protective measures being taken for President Trump’s use of a personal smartphonepic.twitter.com/47cZeSn1bw	
The #MuslimBan is unlawful and un-American. The 9th Circuit ruling is a victory for our Constitution and our values.http://abcnews.go.com/Politics/appeals-court-deliver-ruling-trump-executive-order/story?id=45386342 …	#MuslimBan
I cannot and will not support the nomination of Rep. Price to serve as our next Secretary of HHS	
My constituents tell me health care costs remain far too high. Rep. Price’s efforts to #RepealandRun would only increase health care costs	#RepealandRun
Proud to co-sponsor this important bill spearheaded by my colleague @KamalaHarrishttp://www.sfgate.com/nation/article/Sen-Harris-1st-bill-seeks-legal-counsel-for-10918943.php …	
Thank you @SenWarren for reading this letter written by #CorrettaScottKing. My colleagues should #LetLizSpeak!pic.twitter.com/1dx5DpOzuc	#CorrettaScottKing #LetLizSpeak
Scott Pruitt’s contempt for the Senate and his utter lack of transparency as AG does not bode well for how he would serve as head of the EPA	
It's galling that Scott Pruitt refuses to provide the U.S. Senate with the documents we need to evaluate his ability to lead the EPA	
I look forward to receiving this important information from @WhiteHouse Counsel later this week. #emailspic.twitter.com/gvlfAp59DP	#emailspic
I voted #NoOnDeVos for the students, parents, teachers and school leaders who deserve a champion for public education to lead @usedgov	#NoOnDeVos
More than 3,700 Delawareans contacted my office over the past few weeks urging me to vote #NoOnDeVos. Thank you. I heard you loud and clear.	#NoOnDeVos
Heading to the Senate floor to speak against the nomination of Betsy DeVos. Our students & teachers deserve better. #holdthefloor #NoOnDeVos	#holdthefloor #NoOnDeVos
Betsy DeVos failed to answer the most basic questions on education policy. #EducationMatters #StopDeVoshttps://www.washingtonpost.com/news/answer-sheet/wp/2017/01/18/six-astonishing-things-betsy-devos-said-and-refused-to-say-at-her-confirmation-hearing/?tid=a_inl&utm_term=.bc321411cfc7 …	#EducationMatters #StopDeVoshttps
During her confirmation hearing Betsy DeVos demonstrated she is unqualified and unprepared to be our next Secretary of Education. #StopDeVos	#StopDeVos
Experience matters. Betsy DeVos has no experience in public education as a student, a parent, a teacher or a school administrator. None.	
I hope my GOP colleagues will listen to the students, parents and teachers calling by the thousands to #StopDeVoshttp://www.politico.com/story/2017/01/betsy-devos-confirmation-senate-phone-lines-234216 …	#StopDeVoshttp
Thousands of Delawareans have called my offices to voice their concerns about #BetsyDeVos. I share their concerns. I'm voting #NoOnDeVos	#BetsyDeVos #NoOnDeVos
Last week @clairecmc and I sent a letter to the GSA IG requesting a review of GSA's management of its lease with Trump Old Post Office, LLCpic.twitter.com/2uHmfl8fBr	
Must-read by @SenatorHassan. Betsy DeVos is not qualified to lead our nation's education system. #NOonDeVoshttps://www.nytimes.com/2017/02/03/opinion/why-i-wont-vote-for-betsy-devos.html …	#NOonDeVoshttps
Hi Barbara, I oppose Betsy DeVos and will vote #NOonDeVos. Our students, parents and teachers deserve betterhttps://twitter.com/baprillaman/status/827917940448231426 …	#NOonDeVos
Trump's #MuslimBan is un-American and unlawful. Thank you, Judge Robart, for upholding our values and Constitution http://wapo.st/2jIzyxE 	#MuslimBan
Hey, team. If you're taking a vote on Betsy DeVos, we're strong no's!https://twitter.com/MollyCarr1/status/827568007346020352 …	
I stand with Delaware's teachers, parents and students to oppose the nomination of Betsy DeVos. We can do better. Our kids deserve better.pic.twitter.com/5p3OgEDcmH	
Improving public education should not be a partisan issue. Supporting public school teachers and leaders should not be a partisan issue.	
The @EPWDems will stand our ground in pursuit of the truth and in fulfillment of our Constitutional dutypic.twitter.com/og3ad4dxae	
So reasonable that my Republican colleagues made the same requests of our last @EPA nominee, who actually worked to address their requests.https://twitter.com/SenatorCarper/status/827187759186055168 …	
This Groundhog Day @EPWDems are living the Bill Murray movie—we still haven't received the documents, answers we requested from Scott Pruitt	
Why I voted to oppose Rex Tillerson as our next Secretary of State: http://www.carper.senate.gov/public/index.cfm/pressreleases?ID=A05E7A28-87BA-4974-8FA2-266E6C85AAF0 …	
Proud to co-sponsor @ChrisMurphyCT's bill to strip funding for the un-American #MuslimBan that's hurting familieshttp://www.delawareonline.com/story/news/2017/01/31/ud-students-mother-center-immigration-lawsuit/97289326/ …	#MuslimBan
Americans deserve an open, transparent confirmation process. Americans deserve answers from Scott Pruitt before our committee proceeds.	
Scott Pruitt's record attacking the @EPA raises serious concerns. His unresponsiveness to simple questions has only heightened our concerns.	
The @EPWDems asked Scott Pruitt if he would recuse himself from his current lawsuits against the @EPA. He refused to answer.	
The @EPWDems asked Scott Pruitt: What is a safe level of lead in drinking water? He could not answer the question.	
The @EPWDems asked Scott Pruitt to name any @EPA protection he supports. He couldn't name one.	
Scott Pruitt has sued the @EPA over 20 times. As our next EPA Administrator, would he continue this assault on the agency from the inside?	
If Scott Pruitt is serious about serving as our next EPA Administrator, he should be more than willing to provide @EPWDems complete answers.	
The @EPWDems asked Scott Pruitt important questions about his record as AG and his vision for the EPA. Those questions remain unanswered.	
Loved sharing my Amtrak ride with you this morning! We're in this fight together for clean air and clean water @CleanAirMomshttps://twitter.com/G_Dahlkemper/status/826778723819147264 …	
#ThankYouSallyYates for doing the right thing and defending our Constitutionhttp://www.cnn.com/2017/01/31/politics/sally-yates-firing-prosecutors-letter/ …	#ThankYouSallyYates
I requested a delay of the Committee’s consideration of Scott Pruitt’s nomination until he provides complete answers to @EPWDems' questionspic.twitter.com/0vmTAUdQbE	
“History asks, where do you stand?”— @ChrisCoons. Proud to stand with you and so many against this un-American policyhttp://www.delawareonline.com/story/news/local/2017/01/30/interfaith-gathering-tonight-islamic-society-del/97244278/ …	
RT to spread the word: TODAY is the last day to get covered under the Affordable Care Act! #CoverageMatters https://www.healthcare.gov/ 	#CoverageMatters
Attempts by the president's cabinet nominees to conceal or convolute the truth are unacceptable. We need to get to the bottom of it.https://twitter.com/RonWyden/status/826453159006629889 …	
Ultimately, I agree with them. I cannot and will not support Sen. Jeff Sessions to be our next Attorney General http://www.carper.senate.gov/public/index.cfm/pressreleases?ID=7F3A5266-6DA2-479F-9870-6BC028B3704D …https://twitter.com/SenatorCarper/status/826422287171620866 …	
No hate, no fear. You are welcome here.pic.twitter.com/u6oOE27868	
My view of the Capitol tonight alongside @SenateDems and hundreds of people standing up against the un-American #MuslimBan. #RefugeesWelcomepic.twitter.com/TyQ6JFI8oV	#MuslimBan #RefugeesWelcomepic
In Delaware our hospitals will lose >$1 billion if the ACA is repealed without replacement. We can't afford that reckless path #CareNotChaospic.twitter.com/VXoulq1BCR	#CareNotChaospic
Stood with more than 5,000 people and counting at @PHLAirport to show the world that #refugeesarewelcomeherepic.twitter.com/P9u0aOu7hT	#refugeesarewelcomeherepic
On the way to @PHLAirport with @RepBRochester. #RefugeesWelcome #NoMuslimBanpic.twitter.com/JIVNlpSbkT	#RefugeesWelcome #NoMuslimBanpic
I'll be at @PHLAirport at 2:00pm today to speak with officials and demand that refugees are not detained or denied entry. #RefugeesWelcome	#RefugeesWelcome
Thank you @ACLU! We live to fight another day, and our fight to defeat the #MuslimBan does not end herehttp://wpo.st/FMjW2 	#MuslimBan
A #MuslimBan is fundamentally un-American. We are better than this—and we must be smarter. http://time.com/4651729/president-trump-refugee-suspension-backfire/ …	#MuslimBan
President Trump wants to defeat ISIS, but he clearly does not understand how ISIS recruits. A #MuslimBan plays right into ISIS propaganda	#MuslimBan
Make no mistake, I'm against the #MuslimBan and I'm going to fight with all of my might against ithttps://nyti.ms/2ke1qJe 	#MuslimBan
We can make Americans safer without categorically denying safe haven for those who need our help the most	
President Trump's ban on immigrants from Muslim countries is wrong and jeopardizes our nation’s ability to lead the world with moral clarity	
Betsy DeVos demonstrated that she is wholly unqualified and unprepared to be our next Secretary of Educationhttps://www.washingtonpost.com/news/answer-sheet/wp/2017/01/18/six-astonishing-things-betsy-devos-said-and-refused-to-say-at-her-confirmation-hearing/?utm_term=.efd10061b158 …	
There are no "alternative facts" to #climatechange. For the sake of our Earth and our economy we must #DefendSciencehttps://www.washingtonpost.com/news/speaking-of-science/wp/2017/01/26/leaders-of-science-organizations-dismayed-by-trump-administration-moves/?utm_term=.d0e16c164fd3 …	#climatechange #DefendSciencehttps
My reaction to Scott Pruitt's inadequate responses to @EPWDems' questions after his nomination hearing:pic.twitter.com/sGG2zLY67H	
#ClimateChangeIsReal. Any statements to the contrary are intellectually dishonest and any attempts to hide the truth are dangerous	#ClimateChangeIsReal
97% of climate scientists around the world agree: #ClimateChangeIsReal and it’s the result of human activity	#ClimateChangeIsReal
Removing information on climate change from the @WhiteHouse website doesn't change the fact that #ClimateChangeIsReal and an imminent threat	#ClimateChangeIsReal
Happening now @EPWDems are hearing from scientists, doctors and Oklahomans about Scott Pruitt’s environmental agendahttps://youtu.be/BwxzHN5EX1c 	
My colleague @SenWarren and I are asking GSA how it is acting to resolve the violation of its lease agreement with Trump Old Post Office—LLCpic.twitter.com/8p52OvWYI5	
We'll see about that. Cc: @EPWDemshttps://twitter.com/voxdotcom/status/822779776389804032 …	
To the hundreds of thousands of people participating in the #WomensMarch: your words matter, your message is important & your voice is heard	#WomensMarch
The #WomensMarch demonstrations in Delaware, D.C. and across the globe are powerful displays of democracy and free speech in action	#WomensMarch
Thank you Joe and Jill for your service. Welcome home!pic.twitter.com/9xg6ErlB1M – at Chase Center on the Riverfront	
Welcoming Joe Biden Back to Delaware.pic.twitter.com/yJzOfbBDXL	
Delaware, we're headed home.pic.twitter.com/Bvmz3baL6e	
No state can do it alone. That's why we need a strong @EPA #GuidedByScience to protect our air and public health from harmful pollutantspic.twitter.com/HrRv9PYtF7	#GuidedByScience
As our sea levels rise and our coastlines retreat, states cannot #ActOnClimate alonepic.twitter.com/W5VwpGgxzN	#ActOnClimate
Our children need an EPA #GuidedByScience—not special interests—in setting health standards for clean air, clean water and toxic chemicalspic.twitter.com/pVVtzD28gp	#GuidedByScience
Scott Pruitt continues to sue the @EPA over limits on smog – despite the fact that @LungAssociation gives Oklahoma an “F” for smog pollution	
Should children in the First State be forced to live with the consequences of decisions made by polluters hundreds of miles away?pic.twitter.com/63dT2OXkcd	
The next @EPA Administrator must be #GuidedByScience. Today I will ask Scott Pruitt if he agrees. https://www.c-span.org/video/?421719-1/epa-nominee-scott-pruitt-testifies-confirmation-hearing …	#GuidedByScience
Pleased the DOJ Inspector General heeded my call for an independent and nonpartisan investigation into the FBI's actions before the electionpic.twitter.com/bAYtACeIBy	
We need an EPA #GuidedByScience to ensure that our children are not exposed to polluted air, dirty water, mercury, arsenic and other toxinspic.twitter.com/J6JyiSdKUF	#GuidedByScience
For our children, grandchildren and the generations to come: the EPA must be #GuidedBySciencepic.twitter.com/XVCwkg5VFD	#GuidedBySciencepic
We need an @EPA that's #GuidedByScience to set common sense standards that protect our environment and public healthpic.twitter.com/Q6TSPg9Q4e	#GuidedByScience
I voted “no” for the 30,000 Delawareans who have gained health insurance through the ACA. Their #CoverageMatters.https://www.nytimes.com/2017/01/12/us/politics/health-care-congress-vote-a-rama.html …	#CoverageMatters
A reminder to my colleagues about the Affordable Care Act:pic.twitter.com/MZSvdjA9wr	
Repealing the ACA would take away health coverage for 30 million people and have devastating impacts on our economy:http://www.politico.com/story/2017/01/obamacare-repeal-doomsday-233335 …	
I'm thrilled to help announce $3.5m to @delawaretech with @chriscoons & @johncarneyde to build DE's IT & advanced manufacturing workforce.	
Honored to receive the @USNavy Distinguished Public Service Award from the @SECNAVpic.twitter.com/AWUEmi64ay	
Our bill would create a nonpartisan, independent commission to investigate Russian interference in the 2016 election http://www.carper.senate.gov/public/index.cfm/pressreleases?ID=892D29E4-46E3-4DCC-9A10-D84C9C4835DE …pic.twitter.com/LMFeMeCsnP	
This plan will imperil our ability to care for the most vulnerable people in our country. We cannot afford to #MakeAmericaSickAgainpic.twitter.com/dyBIg840kq	#MakeAmericaSickAgainpic
The Affordable Care Act is shifting our health care system to a preventative and coordinated care system #ACAworkshttp://www.nytimes.com/2017/01/04/opinion/a-bipartisan-reason-to-save-obamacare.html?action=click&pgtype=Homepage&clickSource=story-heading&module=opinion-c-col-left-region&region=opinion-c-col-left-region&WT.nav=opinion-c-col-left-region&_r=0 …	#ACAworkshttp
ProUD to welcome the @DelawareFH team to the U.S. Capitol. Go #BlueHens!pic.twitter.com/kQ3I6HaLTE	#BlueHens
An estimated 52 million Americans have pre-existing conditions—what will happen to those people and their families if the #ACA is repealed?pic.twitter.com/haobBF1kuo	#ACA
Congresswoman Lisa Blunt Rochester has the heart of a servant. She will be a positive force for Delaware in Congresshttp://www.delawareonline.com/story/news/2017/01/03/lisa-blunt-rochester-sworn-makes-history/96108934/ …	
Over the years, Lisa has called me a mentor. The truth is, we’ve mentored each other.pic.twitter.com/KS42GtUaKb	
I applaud @POTUS' sanctions that make it clear - efforts to undermine our democratic processes will not be tolerated	
All Americans, regardless of party affiliation, should be alarmed by a foreign power's interference in our free and fair electionshttps://twitter.com/senatehsgacdems/status/814928378763628545 …	
4 years after #SandyHook, far too many families have suffered the consequences of gun violence. We must #HonorWithAction to #EndGunViolence.pic.twitter.com/MF1wXrb6R2	#SandyHook #HonorWithAction #EndGunViolence
I urge President-elect Trump to take the advice of the Office of Government Ethics and divest his business holdings http://www.carper.senate.gov/public/index.cfm/pressreleases?ID=7B7D6707-60DE-4996-AE78-643A57957832 …pic.twitter.com/Q83dPAjjzB	
President-elect Trump must do what's best for our country, divest his assets and create a blind trusthttp://politi.co/2hrU0yx 	
We did it! Congress approved #DRBCA, affirming that the Delaware River Basin is a national treasure we must preserve for generations to come	#DRBCA
The @EPA head must recognize the damaging effects of climate change on our environment and economy #FactsTrumpDenialhttp://www.nytimes.com/2016/12/07/us/politics/scott-pruitt-epa-trump.html …	#FactsTrumpDenialhttp
We cannot allow #PollutingPruitt to undo the @EPA’s clean water and clean air standards meant to protect public health	#PollutingPruitt
In one lifetime he was a U.S. Marine, astronaut and U.S. Senator. John Glenn moved mountains. May he rest in peace.https://www.theatlantic.com/science/archive/2016/12/john-glenn-astronaut-obituary/510068/ …	
Anyone leading @EPA who wants to ignore science or look out for special interests at the expense of public health can expect a fight with me	
We cannot roll back the progress we made in the past eight years to protect the environment. We will not deny the science of climate change.	
The @EPA is charged with protecting the air we breathe, the water we drink and public health. These should not be partisan issues.	
I'm so grateful for his service to Delaware and to our country. I'm so grateful for his friendship. Bravo zulu, @VP.pic.twitter.com/kzXaFYx3Ze	
Proud of the Senate's strong support for the #CancerMoonshot mission, a deeply personal one for my friend @VP Joe Biden and many families.	#CancerMoonshot
I congratulate Dr. Dennis Assanis as he is inaugurated as the 28th president of the @UDelaware: http://www.carper.senate.gov/public/index.cfm?p=PressReleases&id=009EB28D-A77F-4543-B11F-FFCA8C1E3018 … #CelebrateUD	#CelebrateUD
Today we celebrate Delaware's leading role to launch the greatest and most enduring experiment in democracy known to mankind! #DelawareDaypic.twitter.com/PTZbssTA7f	#DelawareDaypic
We cannot roll back the progress made and global partnership forged to stem the tide of climate change. We must continue to #ActOnClimate	#ActOnClimate
Thank you @AlGore for your continued leadership to raise awareness about the grave threat posed to Earth by #climatechange #24hoursofreality	#climatechange #24hoursofreality
Next time you travel through an airport, don't forget to thank a @TSA officer for their hard work protecting thousands of travelers each day	
This morning I teamed up with Delaware's Teacher of the Year @mrswendymturner and talked with her second-grade class about #recycling! pic.twitter.com/55TAfwZ7Pv	#recycling
We must also protect American manufacturers that are modernizing our economy by producing #cleanenergy technology and products #BuyAmerica	#cleanenergy #BuyAmerica
We must protect and support manufacturing jobs—and we can do that by building up our infrastructure with American iron and steel #BuyAmerica	#BuyAmerica
The taxpayer money we invest in water infrastructure projects should support American jobs & industries #BuyAmericahttp://thehill.com/policy/transportation/308358-last-minute-fight-over-buy-america-provision-emerges-in-water-bill …	#BuyAmericahttp
The GSA should take steps immediately to avoid any conflicts of interest when President-elect Trump takes officeshttps://www.washingtonpost.com/news/digger/wp/2016/12/01/house-democrats-press-obama-administration-over-conflicts-at-trumps-d-c-hotel/?utm_term=.e13f1a549dc2 …	
. @SenWarren and I are asking @USGSA how it will protect taxpayers and avoid conflicts of interest when President-elect Trump assumes officepic.twitter.com/OyWE825RVp	
Once President-elect Trump assumes office, he will oversee @USGSA and effectively be landlord and tenant at the same time	
The terms of @USGSA's lease with agreement with Trump Old Post Office, LLC will be problematic once President-elect Trump takes office	
This bill will make great improvements to the transparency, efficiency of the D.C. court system—grateful for your partnership @EleanorNortonhttps://twitter.com/EleanorNorton/status/804359394980986880 …	
My @Chrysler Town & Country is my office on the go!http://www.delawareonline.com/story/news/local/2016/11/25/sen-carpers-minivan-has-seen-town-and-country/94235276/ …	
Great @DENatureSociety piece about why we need to work together to protect the vitality of the Delaware River Basin:http://www.delawareonline.com/story/opinion/contributors/2016/11/30/protect-delaware-rivers-future/94690432/ …	
We must work together to #saveDACA and assure a promising future to the hundreds of thousands of #DREAMers living across the countrypic.twitter.com/NfDCr2sZlc	#saveDACA #DREAMers
Teamed up with @SenJeffMerkley and @RedCross president Gail McGovern to sign holidays cards for our brave servicemembers and their familiespic.twitter.com/bEl1KpjHku	
Helping vulnerable people is part of our moral fabric as a nation.	
We do not strengthen our country by ignoring the contributions of immigrants or by turning our back on refugees	
We all want stronger borders and to keep terrorists out of this country—but we need to remain clear eyed about real risks and real solutions	
I stand with my fellow Buckeyes as they come together in this difficult time. Together we are #BuckeyeStrong: http://www.carper.senate.gov/public/index.cfm/pressreleases?ID=44530979-ECAC-4179-A2FC-AC33B8470670 …	#BuckeyeStrong
Praying for the safety of my fellow Buckeyes and everyone at Ohio State. Stay safe and listen to first responders.	
It's #CyberMonday! Keep your private info secure while you shop online with these #CyberSecurity tips from @DHSgov: https://www.dhs.gov/blog/2016/11/23/one-thing-you-need-do-shopping-online-lock-down-your-login …	#CyberMonday #CyberSecurity
Rise and shine and #shopsmall! Show your support for local businesses across the First State by shopping and dining small todaypic.twitter.com/8uvyE0IyWt	#shopsmall
Feeling inspired by the Wilmington residents working on energy saving projects through Delaware Interfaith Power & Light.pic.twitter.com/raJMfnMHM2	
In the engine room of the MV Delaware learning about the new diesel engines made possible with federal grants.pic.twitter.com/3aDh9D9NKT	
I'm asking @OfficeGovEthics how it will address any conflicts of interest in President-elect Trump's administrationhttp://www.delawareonline.com/story/news/politics/2016/11/21/carper-trump/94225684/ …	
Checking out Proximity Malt in Laurel, where they will use locally grown barley to make malt and provide to local craft brewers.pic.twitter.com/VieJ6Bkb0j	
President-elect Trump must keep his promise to be president for all Americans. He can start by firing Steve Bannon as his Chief Strategist.pic.twitter.com/8q1lPgEfhR	
Americans can be leaders in cleaner energy while enhancing our infrastructure. Let's work together to leave our children a better world	
The Obama administration has made great strides in climate change & reducing air pollution. We must not roll back on these efforts.	
Now is not the time to move backward - we must continue our work towards a cleaner environment while also having a robust, growing economy	
I am honored to announce that I will serve as the top Democrat on the Environment and Public Works Committee http://www.carper.senate.gov/public/index.cfm/pressreleases?ID=BEBB705A-B572-45D5-B22E-62C3963BCCE6 …	
Feeling the spirit of Return Day with former Republican Governor Mike Castle in Georgetown today #returndaypic.twitter.com/jGbzsFrADl	#returndaypic
Delawareans: On, #ElectionDay, don’t forget to exercise your right to #vote! Remember that polls are open until 8 p.m.	#ElectionDay #vote
Talking to Gary from @Eagle977DE at @FoodBankofDE and DART's Stuff the Bus program. Come out and donate food!pic.twitter.com/uKa7UAFe6x	
Honored to have @DHSgov Secretary Jeh Johnson at @DelStateUniv talking cyber security today.pic.twitter.com/Etvz7uVhfL	
Talking to U.S. Coast Guard leadership and crew members today at the Indian River Station today.pic.twitter.com/tl4KHVexrb – at Indian River Inlet	
Welcome to the 23 new citizens who just took an oath of allegiance this morning in a naturalization ceremony.pic.twitter.com/VCSYTdi8db – at United States District Court	
Congratulations to my friend, @GovernorMarkell, on the naming of a new trail in Wilmington in your honor.pic.twitter.com/jQa01N2TpT	
Thank you to everyone at Johnson Controls in Middletown for a great tour of your facility today. #manufacturingpic.twitter.com/dIb3Gyk0yz	#manufacturingpic
Happy Birthday @Chaplain_Black! Each week I look forward to your Bible Study & thank you for your service to the US Senate.	
Nov. 1 kicks off Open Enrollment for the Health Insurance Marketplace. I urge Delawareans to #GetCovered & visit http://healthcare.gov 	#GetCovered
So proud to help unveil the POW-MIA Parkway this morning with @DelawareDOT @GovernorMarkellpic.twitter.com/nXOXDzPLuf	
The American people deserve the facts. Read the letter I sent to the FBI & the Justice Department here: http://bit.ly/2eYhYCE 	
Honored to have @Interior Secretary Jewell with us at Prime Hook Nat'l Wildlife Refuge, home of the largest restoration project since Sandypic.twitter.com/UIO2ykPXrl	
Celebrating the completion of the Prime Hook Road Causeway, which alleviates flooding and is restoring the marshes. @USFWSNortheastpic.twitter.com/M2lj1ItcFT	
Thank you to all of the @DHSgov employees stationed across the country for your efforts each day to keep Americans safe in their daily lives	
Congratulations to all of the #DHSawards winners for 2016. Your dedication & determination are crucial to the important mission of DHShttps://twitter.com/DHSgov/status/791418794124177410 …	#DHSawards
I applaud @DEStateChamber #principalforaday program for pairing gov & biz leaders with our schools.pic.twitter.com/kJJDIxfDQX – at Christiana High School	#principalforaday
Congratulations Delaware Teacher of the Year Wendy Turner. Thank you for all you do for our students. You truly make a difference in #netde	#netde
Volunteering at a @HabitatNCC build in Wilmington. Affordable housing is an investment in the future of our community.pic.twitter.com/fnJvDWKfxw	
Checking out the living shoreline in Bethany today. These shorelines are better at mitigating storm effects than bulkheads.pic.twitter.com/AY6feI8qjS	
Talking about strengthening families at a breakfast of stakeholders for UpstreamUSApic.twitter.com/fbFejKqBOM	
At the @USNaval_Academy meeting some of the midshipmen from Delaware that I nominated to come here.pic.twitter.com/AeCOCbcWiH – at United States Naval Academy	
Check out my weekly newsletter. This week- my recent trip to Central America to discuss root causes of immigration http://www.carper.senate.gov/public/index.cfm/e-newsletter?ID=F95219DE-1321-41E6-B1D0-10F6C1DE93F9 …	
Read my full report, "Education Denied: The Importance of Assisting Veterans Harmed By School Closures" #StudentVets https://www.hsgac.senate.gov/download/education-denied-the-importance-of-assisting-veterans-harmed-by-school-closures …	#StudentVets
It is unfathomable that brave men & women who volunteered to serve their country in a time of war are left in the lurch by their school	
Today, I recommended new protections for our #studentvets & their families when their colleges suddenly close http://www.carper.senate.gov/public/index.cfm/pressreleases?ID=748CEC10-2B05-4677-9009-F788282FB040 …	#studentvets
Congress must continue to support federal agencies as they work to recruit & retain top #cybersecurity experts to combat the threats we face	#cybersecurity
Pleased to see @DHSgov utilizing #cyber hiring authority granted by Congress to recruit & hire the best & brightesthttps://twitter.com/dhsgov/status/789477751182991361 …	#cyber
It was amazing to see the progress on the Route 301 construction project today, and ride along the route of the future road w/ @DelawareDOTpic.twitter.com/xT2uuys24K	
Everyday I go to work with the 3 C's in mind: Communicate, Collaborate, Compromise. Together, we can create a more perfect union.	
I am privileged to get up every morning & go to work for the people of Delaware – it is truly an honorhttp://www.delawaretoday.com/Delaware-Today/October-2016/The-Art-of-Carper-mise/ …	
Proud of team 'Carper Diem' for their first runner-up win in the Cherry Blossom 10-mile run. Bravo Zulu!pic.twitter.com/W2qKG9NOl7	
We must ensure that this linchpin of our economy that supports 8 million US jobs can thrive for years to comepic.twitter.com/0hRA5kVNqi	
Honored to receive the J. Edward Day Award from @PostCom2 for my ongoing work to preserve @USPS & our $1 trillion mailing industry	
What a beautiful day to visit Fenwick Island and the leadership of @TheQuietResorts #sussexdepic.twitter.com/KKlWDF3BdE	#sussexdepic
The Alliance for Prosperity-a regional plan to bolster security & economic opportunity-can help improve the lives of many in Central America	
Tackling root causes of migration from Northern Triangle countries to US will strengthen the US & create a stable, safe region to our south	
Last week I visited Mexico & Central America to see efforts to address root causes of migration to the US http://www.carper.senate.gov/public/index.cfm/pressreleases?ID=776E81FC-BFA4-4ADC-94D2-9BD776CA0E3E …	
Read my statement on #MontrealProtocol http://ow.ly/fo6I305dkZA 	#MontrealProtocol
#USA must continue to lead the world in taking action to combat the harmful impacts of #climatechange	#USA #climatechange
Very proud we've reached agreement on #MontrealProtocol amdmt that will phase down #HFCs	#MontrealProtocol #HFCs
During Nat'l Cyber Security Month, I urge all Delawareans to be #CyberAware & take steps to keep personal info safe http://www.carper.senate.gov/public/index.cfm/e-newsletter?ID=282804C7-3ACE-4A58-B4BC-E89D9E0B2F6C …	#CyberAware
Proud to celebrate #241NavyBday & honor the dedication & service of my entire @USNavy family. Bravo Zulu! -TC (Captain, USN, Ret.)pic.twitter.com/8s7Cii6HUX	#241NavyBday
